["Median Household Size", "Median Household Income", "Number of Occupied Housing Units", "Number of Housing Units", "Non-English Speaking Population", "Foreign-Born", "Number of People Below the Poverty Line", "Total Population"]
2.87, 84035, 9346, 9532, 247, 0, 1548, 26844, 55068
2.87, 84035, 9346, 9532, 247, 0, 1548, 26844, 55068
2.59, 39180, 2535, 3045, 112, 0, 1144, 7211, 30535
2.34, 38459, 17656, 19025, 236, 37, 8833, 43548, 57701
2.44, 26891, 16988, 19708, 1052, 0, 14083, 43216, 39401
2.55, 75725, 3909, 4400, 99, 0, 1204, 9964, 87059
2.59, 84531, 6691, 7313, 337, 12, 357, 17695, 08034
2.26, 18969, 18989, 22037, 1998, 0, 22852, 54719, 77840
2.26, 18969, 18989, 22037, 1998, 0, 22852, 54719, 77840
2.6, 52461, 11850, 14222, 4241, 142, 4397, 31017, 07740
2.6, 43967, 1630, 1849, 11, 0, 647, 4254, 13140
2.29, 42039, 4450, 5059, 60, 7, 2252, 16200, 13676
2.74, 44867, 9245, 10766, 2333, 15, 4177, 25403, 77071
2.97, 51138, 1269, 1379, 8, 0, 361, 3766, 42406
2.45, 32317, 1489, 1752, 350, 0, 1036, 3763, 79235
2.8, 21664, 9564, 12745, 46, 0, 11148, 26890, 38106
2.66, 39375, 4149, 5108, 1033, 0, 2196, 11207, 76667
2.4, 78860, 5658, 5999, 105, 0, 588, 14437, 60463
2.55, 37579, 4502, 5760, 781, 0, 2458, 11634, 78336
2.57, 51541, 797, 1080, 64, 0, 170, 2203, 79083
2.96, 52297, 1230, 1426, 346, 0, 527, 3666, 97844
2.74, 39155, 6995, 8603, 2120, 0, 4077, 27828, 78102
2.4, 44984, 12615, 13715, 227, 0, 3126, 30637, 54401
2.83, 81198, 3562, 3923, 1127, 36, 442, 10099, 07885
2.18, 44719, 13021, 14501, 756, 0, 4362, 28752, 28803
2.18, 44719, 13021, 14501, 756, 0, 4362, 28752, 28803
2.41, 46449, 11739, 12712, 829, 13, 3390, 29190, 61108
3.19, 40528, 14833, 15994, 16060, 0, 13127, 54537, 08901
2.48, 39719, 9570, 11404, 1146, 0, 4186, 24817, 27549
3.28, 45096, 13530, 15130, 5370, 94, 9244, 44532, 85746
2.5, 54238, 7061, 7505, 63, 0, 2667, 20380, 14420
2.71, 43686, 8850, 9347, 3903, 18, 5030, 24071, 01905
3.38, 30280, 8810, 10110, 7072, 89, 9760, 29856, 08105
2.75, 201065, 1747, 1747, 0, 0, 81, 4897, 02468
2.59, 44256, 5590, 6724, 171, 0, 2395, 14545, 75474
3.27, 85321, 9266, 9787, 591, 0, 1346, 30324, 75126
3.2, 56018, 8947, 9591, 2021, 40, 3399, 28757, 60459
2.54, 66269, 6175, 6553, 554, 0, 946, 15736, 60546
3, 40368, 1970, 2231, 750, 0, 697, 5969, 83211
2.59, 73586, 3472, 3924, 15, 0, 260, 9028, 01504
2.52, 49138, 2525, 3058, 21, 5, 538, 6381, 13865
2.55, 56689, 8926, 9837, 321, 0, 2334, 22843, 28590
3.13, 50750, 5597, 6326, 739, 22, 2020, 17539, 76058
2.82, 63974, 10984, 12399, 1390, 0, 2540, 31280, 22701
2.45, 64670, 10938, 11757, 147, 0, 2524, 27472, 98512
2.71, 44922, 9465, 10547, 1161, 21, 3099, 26001, 83402
2.42, 37866, 4036, 4564, 16, 0, 1800, 10014, 38570
2.91, 48635, 11230, 12309, 8758, 0, 5112, 32763, 07208
3.66, 45579, 4138, 4250, 23, 0, 2633, 15329, 44062
3.16, 36896, 5054, 5764, 3744, 8, 4083, 16518, 60064
2.35, 32880, 597, 694, 9, 0, 337, 1519, 15459
3.65, 29816, 6231, 7979, 9941, 36, 7483, 22996, 85621
2.35, 55873, 3976, 4761, 0, 0, 901, 9375, 14006
2.67, 41956, 8245, 9488, 1413, 19, 3897, 24177, 98520
2.59, 36637, 1479, 1909, 4, 0, 611, 3882, 83254
2.32, 41493, 17758, 21121, 393, 18, 8132, 44351, 46360
2.55, 42878, 9396, 10740, 1008, 0, 3441, 24214, 28083
1.98, 76960, 6119, 6984, 1463, 0, 855, 12141, 22303
2.92, 119250, 14706, 15010, 2088, 0, 1489, 43116, 22015
2.37, 56166, 8489, 9163, 104, 0, 1802, 20939, 58601
2.84, 101049, 11997, 12486, 141, 25, 1271, 34172, 37922
2.48, 62973, 9412, 10306, 984, 0, 3154, 23897, 27278
2.35, 34511, 1091, 1182, 0, 0, 397, 2574, 15436
3.58, 31770, 8811, 9865, 7907, 0, 6818, 31577, 78211
2.91, 47976, 6105, 7003, 867, 0, 2793, 17823, 77357
2.66, 69685, 6735, 7126, 117, 0, 1501, 17978, 14559
2.61, 74072, 9761, 10205, 737, 46, 1299, 25567, 23236
3.56, 26159, 10139, 12834, 11845, 40, 15051, 36075, 78537
2.94, 29289, 12994, 15094, 6965, 11, 12093, 40228, 76119
2.39, 43955, 3494, 4255, 381, 0, 1647, 8373, 36322
2.53, 54623, 19029, 21089, 504, 0, 4903, 48507, 41042
2.64, 86829, 8545, 8904, 658, 0, 1441, 23125, 10954
2.76, 29975, 9345, 10749, 726, 0, 7921, 27978, 75241
3.59, 33165, 17520, 21008, 16693, 105, 22224, 63292, 78596
3.36, 37535, 6141, 6884, 5178, 0, 5569, 20844, 60432
2.71, 76707, 10647, 11510, 495, 0, 1552, 28962, 77566
2.62, 30586, 7978, 9279, 1440, 0, 6380, 21285, 39440
3.56, 26159, 10139, 12834, 11845, 40, 15051, 36075, 78537
2.85, 36188, 20477, 22972, 15113, 172, 16164, 58736, 10031
2.38, 40592, 337, 390, 0, 0, 198, 803, 62058
3.87, 20946, 4740, 6087, 8361, 0, 7557, 18344, 78584
2.68, 50504, 18287, 20300, 3466, 81, 7075, 49884, 28025
2.55, 60596, 15396, 16777, 2374, 9, 3776, 39469, 33624
2.73, 39156, 8650, 9795, 3480, 18, 4892, 23958, 76114
3.26, 66648, 11642, 12311, 3632, 46, 3516, 38778, 60446
2.6, 79243, 9635, 10259, 15, 0, 1263, 25632, 15101
2.37, 27693, 7163, 8431, 927, 0, 5215, 17038, 75237
