["Median Household Size", "Median Household Income", "Number of Occupied Housing Units", "Number of Housing Units", "Non-English Speaking Population", "Foreign-Born", "Number of People Below the Poverty Line", "Total Population"]
2.22, 60128, 7422, 8170, 482, 8, 1337, 17541, 32311
2.94, 50029, 12906, 14404, 1490, 0, 6081, 38293, 30680
2.15, 27124, 1493, 2142, 19, 0, 994, 3569, 32320
3.35, 44432, 1505, 2244, 223, 0, 1190, 6653, 32321
2.65, 67437, 3149, 3303, 46, 0, 383, 8365, 13732
2.71, 30750, 14649, 17217, 1718, 56, 10476, 40041, 33610
2.31, 24312, 10290, 15481, 142, 0, 8725, 24403, 44112
3.11, 43909, 7711, 8720, 4946, 18, 4846, 24154, 77503
3.01, 91720, 9936, 10434, 513, 0, 930, 29921, 27502
3.01, 91720, 9936, 10434, 513, 0, 930, 29921, 27502
3.01, 91720, 9936, 10434, 513, 0, 930, 29921, 27502
2.76, 55610, 1214, 1273, 0, 0, 310, 3354, 37302
2.31, 47188, 703, 780, 0, 0, 234, 1675, 50604
2.31, 47188, 703, 780, 0, 0, 234, 1675, 50604
2.41, 50754, 1587, 1696, 21, 0, 332, 3887, 61064
2.43, 51215, 1135, 1236, 21, 0, 225, 2756, 50665
3.5, 47579, 8937, 9737, 6595, 0, 7222, 31322, 77530
2.54, 68937, 5456, 6730, 409, 0, 847, 13884, 33572
2.44, 57122, 4573, 4687, 2, 10, 780, 11398, 45806
2.78, 61290, 2991, 3304, 0, 0, 1012, 8325, 48357
2.54, 57325, 23489, 24967, 3080, 10, 4592, 60346, 60016
2.35, 42358, 2239, 2397, 9, 0, 853, 5469, 61231
2.79, 87581, 12722, 13175, 907, 0, 1851, 35562, 98059
4.18, 39711, 10948, 12134, 14497, 55, 13658, 46574, 93638
2.57, 50658, 14780, 16175, 1026, 0, 7078, 38459, 71111
2.97, 71775, 2537, 2661, 42, 0, 465, 7669, 67052
2.38, 44909, 14260, 17874, 214, 0, 4329, 34290, 32780
2.57, 43436, 7187, 8346, 704, 0, 3037, 19640, 73008
2.53, 48364, 18495, 20033, 7412, 317, 10519, 50940, 95112
3.09, 93898, 23122, 23921, 5409, 130, 4127, 71661, 93065
2.52, 47884, 14543, 16442, 1587, 0, 5113, 37059, 85302
2.45, 41614, 16849, 19002, 362, 0, 6496, 42579, 42301
2.62, 63598, 12724, 13319, 1392, 0, 2700, 33574, 75081
2.36, 36749, 6898, 7811, 445, 0, 2826, 16317, 14615
3.44, 29883, 16299, 18164, 13650, 59, 19065, 56231, 85706
2.54, 48198, 30245, 32651, 5735, 0, 9301, 76983, 37013
2.98, 50462, 21882, 24142, 11000, 35, 9264, 65286, 33024
2.22, 43939, 11075, 11763, 150, 0, 4163, 25308, 56303
2.38, 50597, 403, 473, 4, 0, 70, 959, 15686
2.38, 50597, 403, 473, 4, 0, 70, 959, 15686
2.38, 50597, 403, 473, 4, 0, 70, 959, 15686
2.81, 47622, 2656, 2809, 209, 0, 1028, 7473, 98596
2.77, 62972, 14618, 15806, 1971, 0, 4029, 40556, 32712
2.77, 62972, 14618, 15806, 1971, 0, 4029, 40556, 32712
2.77, 62972, 14618, 15806, 1971, 0, 4029, 40556, 32712
2.34, 26250, 1240, 1583, 0, 0, 639, 2904, 24216
2.34, 26250, 1240, 1583, 0, 0, 639, 2904, 24216
2.65, 42203, 5364, 5718, 1114, 50, 2139, 14648, 35121
2.59, 31926, 2580, 3013, 11, 0, 1442, 6717, 24260
2.81, 50532, 814, 914, 13, 0, 241, 2286, 66076
2.99, 84565, 6882, 7716, 89, 0, 1433, 20601, 20657
2.77, 73260, 7163, 7444, 1304, 14, 1770, 20232, 91040
2.31, 74576, 12295, 13571, 910, 8, 2073, 29119, 95472
2.24, 57389, 15830, 17680, 64, 16, 3705, 35652, 29412
2.41, 53056, 9751, 10171, 13, 0, 3032, 24630, 58504
3.4, 51274, 2159, 2330, 0, 0, 1022, 7429, 44606
2.69, 55554, 19146, 20528, 832, 0, 5242, 51873, 73160
2.61, 56703, 14795, 16358, 975, 0, 3831, 39234, 72712
2.79, 88776, 18406, 19453, 1070, 0, 3058, 51627, 20744
2.51, 58027, 5163, 5556, 340, 0, 1281, 13903, 22603
3.1, 33333, 420, 629, 19, 0, 325, 1333, 75926
3.1, 33333, 420, 629, 19, 0, 325, 1333, 75926
2.51, 59922, 13841, 14826, 2112, 26, 3110, 34857, 98908
2.89, 45979, 13474, 15250, 1749, 0, 8264, 39109, 92308
2.29, 41433, 13409, 15819, 3086, 52, 5213, 31336, 28792
2.56, 78767, 19040, 19645, 526, 48, 2846, 49020, 55124
2.34, 68952, 18396, 19849, 828, 7, 1691, 44633, 08831
2.17, 51505, 3256, 3411, 46, 0, 825, 7096, 97530
2.43, 38647, 20337, 21913, 1847, 220, 10147, 50088, 97402
2.29, 40684, 1751, 2605, 38, 0, 512, 4246, 17814
2.57, 72577, 6617, 6792, 76, 0, 636, 17032, 54913
2.21, 46158, 10775, 11579, 305, 0, 2999, 25852, 54911
2.29, 32426, 817, 969, 0, 0, 415, 1933, 64724
2.29, 32426, 817, 969, 0, 0, 415, 1933, 64724
2.21, 46158, 10775, 11579, 305, 0, 2999, 25852, 54911
2.21, 46158, 10775, 11579, 305, 0, 2999, 25852, 54911
2.02, 40388, 931, 1074, 123, 0, 189, 2601, 56208
3.25, 88264, 1547, 1728, 0, 0, 108, 5039, 03071
2.39, 63325, 3695, 4038, 355, 0, 655, 8845, 81505
2.66, 62350, 15522, 16178, 816, 0, 2777, 41564, 54915
2.66, 62350, 15522, 16178, 816, 0, 2777, 41564, 54915
2.59, 51641, 1444, 1725, 0, 0, 294, 3735, 04862
1.72, 77835, 26041, 28721, 1622, 0, 5547, 46366, 20009
1.64, 64773, 7300, 8659, 125, 0, 2224, 12021, 20024
1.72, 77835, 26041, 28721, 1622, 0, 5547, 46366, 20009
1.64, 64773, 7300, 8659, 125, 0, 2224, 12021, 20024
2.66, 54065, 4892, 5297, 296, 7, 1801, 13445, 49345
2.63, 62766, 16377, 17011, 126, 0, 2922, 43447, 44212
2.87, 136795, 13325, 13702, 178, 0, 935, 38447, 21042
2.32, 42658, 20545, 24205, 4489, 0, 9458, 47789, 76116
2.53, 57352, 21213, 23019, 1741, 29, 5687, 54488, 29732
2.37, 42682, 9452, 11151, 497, 0, 3696, 22782, 29020
2.59, 35330, 6197, 7414, 345, 0, 3834, 16407, 31513
2.59, 35330, 6197, 7414, 345, 0, 3834, 16407, 31513
2.59, 35330, 6197, 7414, 345, 0, 3834, 16407, 31513
2.59, 35330, 6197, 7414, 345, 0, 3834, 16407, 31513
2.83, 61986, 7507, 7679, 687, 0, 1837, 21493, 38133
2.52, 41530, 6946, 8174, 67, 0, 3548, 17541, 31211
2.52, 41189, 3617, 4232, 19, 0, 1951, 9205, 24522
2.52, 41189, 3617, 4232, 19, 0, 1951, 9205, 24522
2.52, 41189, 3617, 4232, 19, 0, 1951, 9205, 24522
2.52, 41189, 3617, 4232, 19, 0, 1951, 9205, 24522
2.65, 39464, 14427, 18460, 273, 0, 7678, 39311, 23803
2.91, 93260, 3586, 4055, 103, 0, 409, 10533, 02347
3.08, 89591, 11244, 11885, 315, 0, 2171, 34675, 19709
3.08, 89591, 11244, 11885, 315, 0, 2171, 34675, 19709
3.53, 59616, 7003, 8005, 4770, 11, 3585, 25235, 95363
2.83, 42009, 14290, 15377, 6361, 48, 7875, 40719, 95991
3.18, 31248, 12768, 14414, 11717, 640, 14611, 41088, 80010
2.6, 23608, 11648, 15486, 973, 14, 12090, 33125, 30315
2.88, 88438, 5673, 6135, 162, 0, 465, 16533, 07480
2.54, 91680, 16328, 16827, 637, 0, 1202, 41705, 60089
2.4, 78492, 10107, 11697, 590, 15, 2396, 24421, 95003
2.4, 78492, 10107, 11697, 590, 15, 2396, 24421, 95003
2.64, 138003, 7258, 7719, 352, 0, 584, 19300, 94127
4.32, 53889, 150, 176, 0, 0, 117, 648, 99763
2.51, 38108, 2552, 3713, 60, 0, 875, 6411, 28128
2.27, 69854, 6825, 7564, 154, 7, 1078, 15635, 99517
1.48, 102422, 31, 31, 0, 0, 0, 46, 11931
2.47, 71764, 6433, 7214, 97, 0, 1102, 16200, 02842
2.12, 60159, 11315, 11950, 199, 0, 2353, 24722, 55426
2.62, 39929, 407, 479, 3, 0, 109, 1066, 76622
2.52, 43315, 6554, 7658, 54, 0, 2324, 16628, 35016
2.52, 43315, 6554, 7658, 54, 0, 2324, 16628, 35016
2.52, 43315, 6554, 7658, 54, 0, 2324, 16628, 35016
2.52, 43315, 6554, 7658, 54, 0, 2324, 16628, 35016
2.58, 39063, 1283, 1665, 171, 0, 288, 3372, 70032
2.69, 47642, 13937, 16029, 234, 0, 5938, 37544, 30038
3.17, 56090, 14646, 15768, 12061, 36, 7857, 46844, 90065
2.93, 55800, 8919, 9771, 383, 0, 2842, 26135, 80817
2.47, 109093, 9356, 9617, 921, 2, 1283, 23408, 94402
2.91, 92815, 22151, 23083, 2976, 32, 3421, 64457, 77095
2.55, 37579, 4502, 5760, 781, 0, 2458, 11634, 78336
2.55, 37579, 4502, 5760, 781, 0, 2458, 11634, 78336
2.52, 60575, 17293, 18306, 4647, 0, 6822, 44061, 75080
2.48, 55000, 512, 567, 3, 0, 86, 1350, 73620
2.48, 55000, 512, 567, 3, 0, 86, 1350, 73620
2.5, 47025, 7612, 8101, 159, 0, 3322, 19441, 82501
2.55, 54885, 615, 933, 60, 0, 118, 1567, 28510
4.16, 47917, 115, 133, 0, 0, 64, 478, 82510
2.4, 36250, 572, 668, 30, 0, 255, 1397, 68922
2.51, 82564, 11848, 12283, 120, 2, 1164, 29993, 80122
2.4, 36250, 572, 668, 30, 0, 255, 1397, 68922
2.71, 38245, 5752, 6415, 1888, 0, 3437, 15895, 80030
2.07, 50429, 10963, 11675, 565, 0, 4563, 23198, 80303
2.67, 47776, 14421, 15335, 7026, 62, 7350, 38600, 91401
2.82, 59229, 7200, 7671, 868, 10, 3262, 20796, 97060
3.28, 44960, 7754, 8674, 2760, 0, 5243, 25552, 95961
3.21, 66985, 20939, 21980, 10933, 4, 7559, 67707, 90631
1.96, 51417, 83, 103, 0, 0, 5, 163, 83212
2.86, 88779, 17411, 18121, 1519, 23, 2248, 55477, 08854
2.46, 51003, 10958, 12122, 348, 19, 3025, 27051, 49015
2.8, 82799, 25814, 26781, 1504, 155, 3378, 73230, 66062
2.77, 74415, 8157, 8914, 645, 0, 999, 22756, 75010
2.63, 45058, 5395, 5910, 1113, 0, 2440, 14402, 73122
2.55, 53346, 10190, 10724, 2670, 58, 4758, 26234, 98146
1.61, 14110, 1048, 1263, 86, 0, 1001, 1874, 12207
2.92, 70632, 9546, 9821, 667, 0, 2507, 27953, 60452
2.65, 47584, 11702, 13101, 2321, 31, 6508, 31973, 32817
2.82, 69990, 10822, 11605, 816, 0, 1498, 30506, 30265
2.98, 61833, 20230, 22433, 1498, 6, 6622, 60538, 30135
2.59, 80229, 12611, 13333, 527, 0, 1748, 32790, 55369
2.7, 89916, 14468, 15196, 548, 0, 2187, 39102, 60137
3.09, 86012, 14428, 15946, 706, 0, 1953, 44719, 89131
2.07, 40772, 2435, 3864, 0, 0, 531, 5095, 54568
2.61, 82669, 6314, 6512, 141, 0, 428, 16594, 53597
2.45, 52688, 11594, 12729, 351, 0, 4064, 28982, 48162
3.04, 51406, 1492, 1692, 868, 0, 831, 4548, 95912
3.04, 51406, 1492, 1692, 868, 0, 831, 4548, 95912
3, 101456, 8005, 8167, 158, 0, 776, 24029, 60448
2.62, 54632, 13092, 13704, 1259, 20, 5464, 34676, 21227
2.62, 54632, 13092, 13704, 1259, 20, 5464, 34676, 21227
2.28, 44432, 10755, 11920, 138, 0, 4069, 27663, 62650
2.98, 54521, 11604, 12796, 2646, 37, 3311, 35224, 33351
2.43, 51227, 9907, 11687, 546, 0, 3288, 24739, 34471
2.28, 46746, 2423, 2816, 7, 0, 540, 5534, 14009
2.27, 42488, 14341, 15835, 1779, 50, 6563, 32860, 95821
2.84, 38740, 7614, 9557, 1303, 16, 5332, 22185, 35404
2.36, 81480, 1928, 2171, 15, 0, 376, 4615, 60461
2.67, 43051, 11453, 13921, 1553, 3, 5349, 31061, 29301
2.39, 42829, 2030, 2251, 523, 0, 726, 4925, 54612
2.74, 52810, 4082, 4359, 12, 0, 1708, 11266, 99006
2.69, 59545, 488, 609, 10, 0, 74, 1314, 44804
2.33, 31975, 9826, 10964, 155, 7, 8471, 26845, 49006
2.58, 44583, 258, 310, 0, 0, 61, 666, 68815
2.79, 54432, 245, 267, 0, 0, 42, 683, 51430
2.8, 70455, 11591, 12090, 708, 0, 3670, 33241, 91007
2.39, 42829, 2030, 2251, 523, 0, 726, 4925, 54612
1.98, 51172, 171, 218, 0, 0, 48, 338, 23416
2.18, 52764, 17115, 20002, 2515, 14, 4714, 37552, 85018
2.5, 59926, 14235, 15081, 123, 0, 2211, 36115, 14612
2.69, 59545, 488, 609, 10, 0, 74, 1314, 44804
2.44, 22941, 1694, 2069, 0, 0, 1178, 4386, 71001
2.58, 44583, 258, 310, 0, 0, 61, 666, 68815
1.98, 51172, 171, 218, 0, 0, 48, 338, 23416
2.69, 59545, 488, 609, 10, 0, 74, 1314, 44804
2.5, 59926, 14235, 15081, 123, 0, 2211, 36115, 14612
1.93, 48042, 17156, 22012, 2504, 0, 3943, 33592, 85251
3.58, 35928, 19820, 22216, 27524, 64, 17786, 72169, 75211
3.46, 58857, 18929, 19677, 4850, 47, 6819, 65637, 84118
2.59, 37802, 1821, 2287, 37, 0, 1142, 4931, 63650
2.59, 37802, 1821, 2287, 37, 0, 1142, 4931, 63650
2.59, 37802, 1821, 2287, 37, 0, 1142, 4931, 63650
2.59, 37802, 1821, 2287, 37, 0, 1142, 4931, 63650
3.1, 69593, 19198, 20533, 4806, 90, 7004, 59694, 30047
2.64, 54211, 2817, 3070, 1, 1, 693, 7447, 45304
2.64, 54211, 2817, 3070, 1, 1, 693, 7447, 45304
2.24, 35151, 8064, 9011, 442, 0, 5147, 20055, 95521
2.24, 35151, 8064, 9011, 442, 0, 5147, 20055, 95521
2.56, 54911, 2690, 2808, 140, 0, 751, 6992, 43502
2.56, 54911, 2690, 2808, 140, 0, 751, 6992, 43502
2.56, 54911, 2690, 2808, 140, 0, 751, 6992, 43502
3.15, 33662, 15588, 18215, 4710, 43, 12905, 51462, 33161
2.56, 39253, 8328, 9151, 248, 0, 3212, 21427, 27263
2.63, 49187, 5583, 6087, 21, 0, 1962, 14809, 27370
2.38, 36382, 731, 835, 1, 0, 448, 1811, 76351
2.38, 36382, 731, 835, 1, 0, 448, 1811, 76351
2.53, 45000, 2920, 3157, 145, 0, 782, 7408, 32618
2.52, 44403, 18400, 21455, 2794, 32, 8262, 46986, 27407
2.85, 82261, 7957, 8289, 408, 0, 1036, 22701, 97140
3.2, 71891, 9886, 10880, 1683, 32, 2239, 31613, 30045
2.71, 48249, 7624, 8155, 1439, 0, 2590, 20868, 27591
3.05, 71158, 13966, 14731, 8492, 221, 5376, 43168, 11520
2.49, 42220, 3749, 4801, 298, 0, 1128, 9500, 84532
2.33, 47222, 11445, 12849, 934, 0, 4720, 28887, 89503
2.61, 57188, 765, 837, 3, 0, 174, 1996, 64725
2.51, 84875, 7236, 7905, 29, 0, 1197, 18296, 02818
2.63, 83710, 13267, 13776, 86, 0, 1911, 35409, 02184
3, 54299, 11804, 12782, 12526, 41, 4573, 35615, 33183
3, 54299, 11804, 12782, 12526, 41, 4573, 35615, 33183
3, 54299, 11804, 12782, 12526, 41, 4573, 35615, 33183
2.84, 39818, 20150, 21642, 7262, 5, 11822, 57444, 10473
2.75, 83163, 14876, 15571, 2890, 130, 2950, 42352, 93010
3.05, 61591, 3808, 8228, 134, 0, 884, 11714, 81147
3.34, 44597, 11117, 11775, 9782, 70, 8028, 39801, 80239
3.3, 59967, 9154, 10210, 3122, 0, 4467, 30961, 94589
2.39, 33654, 636, 831, 0, 0, 340, 1579, 83213
2.65, 60114, 23723, 25235, 2937, 330, 8414, 63113, 97006
3.15, 86995, 639, 661, 191, 0, 355, 2059, 95638
3.1, 126250, 3447, 3608, 445, 0, 266, 10697, 20105
2.97, 73480, 16111, 16899, 8884, 28, 5109, 48325, 20902
2.96, 49583, 1436, 1603, 357, 0, 468, 4365, 61910
2.96, 49583, 1436, 1603, 357, 0, 468, 4365, 61910
2.38, 75784, 17647, 18453, 270, 0, 1670, 43990, 19403
3, 25759, 8726, 10169, 2857, 0, 9014, 26505, 33150
2.59, 28750, 58, 58, 0, 0, 8, 150, 46704
3.48, 51475, 1580, 1736, 110, 0, 694, 6548, 99703
1.83, 27000, 46, 68, 0, 0, 15, 84, 99722
2.47, 31097, 15446, 17673, 656, 0, 11288, 41279, 29203
2.36, 83245, 9144, 9768, 414, 0, 1272, 21646, 95864
2.29, 52968, 19442, 21332, 830, 68, 4183, 44684, 79109
2.55, 74453, 2419, 2533, 93, 0, 243, 6261, 07727
2.31, 47690, 15054, 16279, 878, 47, 4980, 35527, 97222
3.02, 108791, 11119, 11538, 370, 9, 1970, 33656, 94555
2.63, 156526, 7109, 7484, 286, 0, 542, 18850, 94022
2.5, 55856, 11166, 12248, 194, 0, 2427, 28307, 19050
2.68, 66199, 11088, 11912, 2140, 0, 2609, 29683, 60181
3.05, 62164, 12823, 13533, 6886, 5, 4345, 39259, 60101
2.67, 95807, 15709, 16523, 342, 0, 1525, 42145, 20774
2.64, 93141, 9140, 9547, 590, 104, 1289, 24399, 98008
2.28, 57450, 8933, 9545, 42, 0, 1440, 20610, 48081
2.61, 41563, 2056, 2280, 74, 0, 964, 5357, 35739
2.62, 40962, 12980, 15209, 659, 0, 5822, 34845, 73401
2.55, 93146, 23184, 24215, 548, 0, 1544, 59073, 28277
2.93, 131184, 1794, 1922, 149, 0, 114, 5289, 10502
2.93, 131184, 1794, 1922, 149, 0, 114, 5289, 10502
2.52, 44975, 6128, 7520, 88, 0, 1927, 20563, 46135
2.46, 56984, 2439, 2576, 163, 0, 520, 6025, 56058
2.63, 25399, 5627, 6940, 1585, 0, 5371, 14932, 46320
2.38, 67793, 15584, 16036, 167, 0, 1984, 37419, 55110
2.38, 43784, 948, 1114, 36, 0, 300, 2285, 56510
3.66, 32847, 13644, 15754, 17194, 30, 15931, 51507, 89030
2.71, 69453, 14847, 15773, 1641, 27, 2121, 40718, 93455
2.71, 69453, 14847, 15773, 1641, 27, 2121, 40718, 93455
2.39, 43889, 536, 784, 115, 5, 320, 1282, 95468
2.28, 53636, 854, 909, 3, 0, 126, 1943, 53503
2.34, 88486, 7094, 7305, 395, 6, 575, 16597, 90245
2.49, 32438, 515, 645, 3, 0, 258, 1281, 48766
2.49, 32438, 515, 645, 3, 0, 258, 1281, 48766
2.79, 69464, 634, 651, 0, 0, 54, 1767, 62554
2.51, 51696, 1037, 1145, 24, 0, 71, 2604, 62501
2.51, 51696, 1037, 1145, 24, 0, 71, 2604, 62501
2.75, 63693, 5194, 5738, 16, 0, 1390, 14378, 48451
2.82, 44824, 8032, 9238, 1763, 8, 4518, 22670, 66106
2.97, 53563, 503, 568, 0, 0, 362, 1492, 41121
3.37, 48314, 3430, 3823, 2461, 6, 2284, 11577, 60501
2.76, 153563, 10876, 11379, 118, 15, 1091, 30215, 95070
2.19, 50938, 2741, 3347, 158, 0, 885, 6330, 95642
2.44, 46250, 326, 392, 0, 0, 101, 794, 67004
2.44, 46250, 326, 392, 0, 0, 101, 794, 67004
2.51, 77612, 17463, 18877, 665, 22, 4134, 44169, 94121
2.92, 45452, 1361, 1500, 3, 0, 647, 3974, 46501
2.92, 45452, 1361, 1500, 3, 0, 647, 3974, 46501
3.32, 45749, 13028, 13867, 7829, 0, 9084, 43518, 95307
2.48, 51544, 844, 922, 9, 0, 133, 2093, 53504
2.17, 51818, 376, 445, 0, 0, 50, 819, 56713
2.1, 52129, 23467, 26177, 3112, 0, 6473, 49377, 30080
2.4, 63713, 1378, 1959, 27, 0, 164, 3441, 12809
2.55, 51909, 15160, 16840, 1312, 7, 3484, 39431, 32073
3.1, 117037, 5732, 6179, 290, 1, 636, 17765, 76226
2.48, 51544, 844, 922, 9, 0, 133, 2093, 53504
3.1, 117037, 5732, 6179, 290, 1, 636, 17765, 76226
2.4, 63713, 1378, 1959, 27, 0, 164, 3441, 12809
2.64, 69396, 23860, 25916, 8937, 0, 6442, 63580, 20906
3.1, 117037, 5732, 6179, 290, 1, 636, 17765, 76226
2.27, 47054, 51, 69, 8, 0, 0, 116, 80801
2.27, 47054, 51, 69, 8, 0, 0, 116, 80801
2.21, 25215, 13509, 16271, 334, 0, 10704, 30641, 60653
2.23, 23621, 9183, 12395, 82, 0, 8020, 20716, 70117
2.47, 21801, 15444, 19592, 155, 0, 18736, 51658, 19104
3.33, 36949, 14545, 16627, 13750, 93, 14409, 49479, 94601
2.58, 39946, 1131, 1270, 0, 0, 505, 2920, 36311
3.44, 29883, 16299, 18164, 13650, 59, 19065, 56231, 85706
2.04, 32370, 16130, 18174, 1257, 20, 8127, 33171, 85716
1.78, 25572, 2039, 2461, 637, 0, 1337, 4173, 85004
2.66, 33770, 4762, 5840, 2322, 0, 4986, 13697, 85007
2.25, 57397, 7040, 8731, 66, 0, 1254, 15964, 85215
1.85, 33013, 3953, 4523, 1149, 0, 2403, 9384, 85003
2.37, 51955, 19021, 23586, 1792, 27, 4394, 45173, 85374
3, 46044, 19972, 22699, 10233, 118, 9569, 60092, 85204
2.66, 50098, 10827, 12077, 997, 0, 3707, 28949, 85053
2.66, 50098, 10827, 12077, 997, 0, 3707, 28949, 85053
3.55, 28548, 6422, 6871, 11937, 0, 8048, 23065, 85349
3.64, 50566, 8318, 9374, 4625, 0, 3961, 30306, 85353
3.53, 57517, 19734, 21788, 10490, 22, 8464, 69723, 77083
3.73, 60347, 23751, 25418, 17941, 28, 13501, 89679, 92503
1.78, 25572, 2039, 2461, 637, 0, 1337, 4173, 85004
2.3, 40616, 10791, 11867, 2073, 0, 3742, 25068, 86326
1.78, 25572, 2039, 2461, 637, 0, 1337, 4173, 85004
2.92, 32685, 4150, 5243, 3110, 19, 3015, 17975, 85131
2.29, 44880, 21453, 24834, 631, 38, 10061, 53951, 12180
2.37, 60632, 14367, 16291, 2724, 0, 3939, 34933, 95062
2.47, 34238, 5445, 6851, 235, 0, 3163, 15481, 71923
2.63, 39633, 6035, 7223, 659, 29, 3052, 16218, 67005
2.63, 39633, 6035, 7223, 659, 29, 3052, 16218, 67005
2.59, 41736, 13035, 15035, 90, 0, 6813, 35251, 71603
2.64, 51190, 13126, 14055, 2386, 16, 4304, 34656, 80017
3.38, 96250, 26, 28, 0, 0, 10, 88, 72321
2.3, 60251, 9169, 10197, 543, 0, 1879, 21255, 72211
2.3, 60251, 9169, 10197, 543, 0, 1879, 21255, 72211
2.35, 50625, 590, 640, 8, 0, 126, 1386, 54721
2.49, 24900, 834, 950, 25, 0, 659, 2116, 74901
2.45, 50985, 1154, 1370, 10, 0, 163, 2823, 14807
2.27, 39526, 9450, 10641, 183, 0, 3269, 21944, 61938
3.73, 60347, 23751, 25418, 17941, 28, 13501, 89679, 92503
2.11, 32292, 946, 1010, 0, 0, 491, 1996, 59821
2.11, 32292, 946, 1010, 0, 0, 491, 1996, 59821
2.11, 32292, 946, 1010, 0, 0, 491, 1996, 59821
3.52, 87795, 10041, 11222, 872, 0, 2741, 38705, 95757
3.39, 138125, 12050, 12605, 266, 0, 958, 40793, 60564
2.38, 49648, 19327, 20346, 958, 0, 7306, 46663, 97206
4.55, 49842, 21365, 22632, 35946, 328, 18949, 97523, 91331
2.8, 74132, 8019, 8531, 768, 0, 1365, 22499, 08859
3.78, 28523, 275, 355, 0, 0, 305, 1039, 40826
3.22, 81692, 14537, 14996, 3537, 28, 2367, 48922, 90638
2.63, 45882, 9320, 10070, 1483, 0, 5463, 24743, 98409
2.7, 82117, 11583, 11936, 346, 6, 1702, 31288, 76016
2.6, 67662, 16785, 17566, 945, 0, 3648, 43732, 76017
2.6, 67662, 16785, 17566, 945, 0, 3648, 43732, 76017
2.56, 36163, 16992, 20115, 1983, 0, 9498, 43677, 46226
2.74, 71223, 11426, 12112, 1320, 0, 1900, 31463, 90504
2.95, 83920, 12205, 12925, 173, 0, 1275, 36135, 38002
2.72, 35620, 23484, 28288, 432, 0, 15047, 64937, 21215
2.52, 44342, 6602, 6786, 277, 0, 3331, 16831, 99217
2.48, 73125, 517, 561, 13, 0, 23, 1283, 53911
2.19, 52500, 796, 1045, 21, 0, 225, 1838, 57212
2.31, 53875, 398, 484, 34, 0, 87, 920, 97812
3.12, 41932, 305, 336, 153, 0, 470, 952, 85322
2.1, 19910, 9456, 10929, 311, 0, 9876, 23688, 40508
2.6, 58540, 14722, 15922, 631, 0, 3328, 38315, 46237
2.57, 29472, 9207, 11476, 374, 7, 7288, 23750, 43609
2.95, 46071, 270, 433, 0, 0, 130, 797, 46104
2.51, 40345, 11876, 14871, 1024, 11, 5821, 30080, 32211
2.39, 58761, 13665, 14421, 113, 0, 2596, 32957, 46835
2.96, 30415, 15914, 17122, 17455, 30, 14228, 47741, 01841
2.91, 70924, 709, 735, 12, 0, 95, 2066, 68002
2.52, 27575, 13515, 16419, 302, 15, 10439, 36319, 38301
2.35, 46469, 13817, 15040, 1178, 0, 6428, 33088, 76013
2.35, 43055, 12499, 13884, 333, 0, 4579, 29708, 45215
2.56, 57105, 10953, 11941, 435, 0, 2975, 28822, 18360
2.23, 36306, 9074, 10060, 168, 0, 5387, 20733, 47404
2.66, 43595, 4509, 5746, 783, 0, 2784, 12144, 39581
2.53, 54549, 16090, 17046, 1209, 17, 4633, 40944, 95621
2.65, 40727, 23689, 25294, 14056, 61, 13004, 63894, 90019
2.51, 40345, 11876, 14871, 1024, 11, 5821, 30080, 32211
2.1, 48680, 11976, 13685, 2419, 11, 4700, 25530, 76107
3.73, 60347, 23751, 25418, 17941, 28, 13501, 89679, 92503
2.26, 90625, 7052, 7562, 33, 0, 572, 16137, 02476
2.31, 53875, 398, 484, 34, 0, 87, 920, 97812
2.63, 65192, 14928, 16121, 478, 14, 2597, 39403, 98223
2.95, 83920, 12205, 12925, 173, 0, 1275, 36135, 38002
2.97, 102663, 2548, 2723, 31, 0, 436, 7606, 12540
2.91, 70924, 709, 735, 12, 0, 95, 2066, 68002
2.19, 52500, 796, 1045, 21, 0, 225, 1838, 57212
2.19, 52500, 796, 1045, 21, 0, 225, 1838, 57212
2.52, 61250, 1009, 1129, 0, 0, 123, 2595, 45814
2.52, 61250, 1009, 1129, 0, 0, 123, 2595, 45814
2.24, 54354, 1573, 2019, 4, 0, 212, 3534, 05250
2.51, 40345, 11876, 14871, 1024, 11, 5821, 30080, 32211
2.66, 79817, 15301, 16082, 745, 36, 3891, 42604, 12603
2.96, 30415, 15914, 17122, 17455, 30, 14228, 47741, 01841
2.95, 83920, 12205, 12925, 173, 0, 1275, 36135, 38002
2.94, 41066, 6076, 6766, 5393, 29, 5393, 18493, 75235
2.51, 34045, 10432, 12346, 637, 0, 7863, 26800, 43219
2.59, 23647, 6247, 7729, 431, 0, 7800, 16206, 70820
2.34, 50814, 14125, 14960, 1594, 28, 3679, 37908, 02920
1.94, 105976, 16422, 18606, 732, 0, 1733, 32403, 22201
2.63, 65192, 14928, 16121, 478, 14, 2597, 39403, 98223
2.67, 137524, 6360, 6740, 219, 0, 593, 17081, 22205
2.54, 27664, 11938, 15826, 449, 0, 10066, 30866, 46218
2.87, 75841, 5110, 5493, 553, 0, 1216, 14655, 78070
3.21, 62640, 15630, 16779, 5971, 66, 6639, 50194, 77089
2.77, 74351, 11710, 12027, 1023, 0, 2187, 33269, 91773
4.08, 57364, 7331, 8081, 4934, 23, 4840, 29973, 92551
