NCES ID,Free Lunch,Reduced Lunch,,,,
192532001445,169,42,,,,
190813000403,107,40,,,,
190813000404,37,21,,,,
190813000405,21,12,,,,
190579000183,176,23,,,,
190819000407,28,13,,,,
190897002011,50,9,,,,
190822000414,27,12,,,,
192640001502,129,56,,,,
191428002088,23,12,,,,
191428000850,63,23,,,,
190831000446,61,18,,,,
190831001421,217,60,,,,
190831000444,153,36,,,,
190831001237,105,38,,,,
193093001790,203,21,,,,
191428000848,161,82,,,,
191428000849,89,46,,,,
190369000778,58,14,,,,
193093001791,99,25,,,,
193048001719,382,30,,,,
190852000705,54,11,,,,
190852000451,51,17,,,,
190852000453,52,26,,,,
190855000454,69,42,,,,
190855000455,54,28,,,,
190861000492,98,31,,,,
190861000059,183,52,,,,
190861000493,129,35,,,,
191320000790,91,26,,,,
199901902077,80,20,,,,
190873000501,89,36,,,,
190873000498,77,36,,,,
192682001568,117,57,,,,
191854001064,48,22,,,,
190888000505,48,13,,,,
191107000684,141,34,,,,
190891000915,0,0,,,,
190891000511,433,63,,,,
190891000508,319,65,,,,
190891000509,243,44,,,,
191185000732,62,14,,,,
190894000512,25,5,,,,
190894000513,13,4,,,,
190894000514,21,5,,,,
190897001548,0,0,,,,
190897002129,0,0,,,,
190315000010,55,25,,,,
192750000671,43,18,,,,
190906000593,21,8,,,,
190906000594,21,6,,,,
190912000595,30,21,,,,
190912000596,20,25,,,,
190912001207,17,9,,,,
192211001314,190,17,,,,
190897000232,32,13,,,,
190945000600,34,7,,,,
193135000205,85,60,,,,
190948000604,423,132,,,,
191182000722,143,27,,,,
190954000624,98,33,,,,
190954000625,52,15,,,,
190960000629,67,17,,,,
192760001609,45,23,,,,
190960000630,34,7,,,,
190960000631,44,10,,,,
193135001828,14,7,,,,
190002200632,43,14,,,,
191668000995,218,40,,,,
190999001537,142,31,,,,
190999000635,89,24,,,,
190771001519,241,37,,,,
191005000640,53,26,,,,
191005001956,11,2,,,,
191005000641,17,8,,,,
191854001065,26,12,,,,
191458001318,4,5,,,,
193099001408,99,14,,,,
190717000325,2,1,,,,
193051000299,27,7,,,,
191011000642,79,26,,,,
191011000643,31,6,,,,
191011000644,29,3,,,,
190339000036,81,39,,,,
192739001597,58,16,,,,
190420000109,72,14,,,,
190369000072,44,15,,,,
192598001473,118,44,,,,
191458000865,82,21,,,,
192640001504,341,92,,,,
190897000528,1,390,,,,
193048001714,565,157,,,,
190004001523,20,1,,,,
190004000132,115,19,,,,
190004000121,88,20,,,,
190004000117,70,23,,,,
192640001505,367,99,,,,
191824001046,37,11,,,,
191824000779,3,0,,,,
191824002086, , ,,,,
192958001438, , ,,,,
