457554
190369000148, Public, Suburb: Large (21), Regular school, N/A, N/A, N/A, N/A, N/A, no, 593, 39.00, 15.21, 1, 28, 24, 1, 528, 11, 17, 88, 87, 91, 101, 99, 110, 0, 0, 0, 0, 0, 0, 0
190369000077, Public, Suburb: Large (21), Regular school, N/A, N/A, N/A, N/A, N/A, no, 685, 36.00, 19.03, 0, 20, 34, 13, 601, 17, 0, 126, 131, 120, 109, 112, 87, 0, 0, 0, 0, 0, 0, 0
190369000078, Public, Suburb: Large (21), Regular school, N/A, N/A, N/A, N/A, N/A, no, 407, 26.55, 15.33, 1, 14, 12, 6, 365, 9, 23, 75, 59, 67, 70, 56, 57, 0, 0, 0, 0, 0, 0, 0
190393000090, Public, Town: Remote (33), Regular school, N/A, N/A, N/A, N/A, N/A, no, 479, 32.67, 14.66, 0, 1, 7, 7, 461, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 110, 122, 140
190393000093, Public, Town: Remote (33), Regular school, N/A, N/A, N/A, N/A, N/A, no, 318, 20.26, 15.70, 1, 6, 4, 4, 301, 2, 0, 0, 0, 0, 0, 0, 0, 116, 91, 111, 0, 0, 0, 0
190393000412, Public, Town: Remote (33), Regular school, N/A, N/A, N/A, N/A, N/A, no, 225, 13.00, 17.31, 1, 7, 11, 0, 206, 0, 0, 0, 0, 0, 0, 107, 118, 0, 0, 0, 0, 0, 0, 0
190393000094, Public, Town: Remote (33), Regular school, N/A, N/A, N/A, N/A, N/A, no, 469, 32.83, 14.29, 0, 13, 20, 2, 433, 1, 27, 136, 98, 107, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0
190369000071, Public, Suburb: Large (21), Regular school, N/A, N/A, N/A, N/A, N/A, no, 1595, 93.80, 17.00, 4, 35, 55, 20, 1455, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 537, 533, 525
190369002094, Public, Rural: Fringe (41), Regular school, N/A, N/A, N/A, N/A, N/A, no, 751, 33.00, 22.76, 0, 16, 27, 12, 669, 27, 35, 124, 140, 121, 109, 110, 112, 0, 0, 0, 0, 0, 0, 0
190369000778, Public, Suburb: Large (21), Regular school, N/A, N/A, N/A, N/A, N/A, no, 632, 35.00, 18.06, 0, 14, 14, 11, 582, 11, 16, 112, 111, 107, 109, 105, 72, 0, 0, 0, 0, 0, 0, 0
190369000380, Public, Suburb: Large (21), Regular school, N/A, N/A, N/A, N/A, N/A, no, 1208, 77.50, 15.59, 5, 29, 39, 16, 1105, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 604, 604, 0, 0, 0
190369000074, Public, Suburb: Large (21), Regular school, N/A, N/A, N/A, N/A, N/A, no, 476, 24.00, 19.83, 3, 5, 18, 15, 416, 19, 37, 75, 79, 69, 80, 77, 59, 0, 0, 0, 0, 0, 0, 0
190369000073, Public, Suburb: Large (21), Regular school, N/A, N/A, N/A, N/A, N/A, no, 1300, 76.00, 17.11, 1, 23, 44, 21, 1191, 20, 0, 0, 0, 0, 0, 0, 0, 637, 663, 0, 0, 0, 0, 0
190369002026
A9501805, Private, Suburb: Large (21), Regular elementary or secondary, Christian (no specific denomination), Coed, 180, 7, yes, N/A, 284, 19.4, 9.7, 0, 7, 11, 8, 162, 0, 96, 38, 19, 16, 16, 18, 9, 8, 13, 6, 13, 9, 15, 8
A0971143
190396000095, Public, Rural: Remote (43), Regular school, N/A, N/A, N/A, N/A, N/A, no, 220, 18.00, 12.22, 1, 1, 4, 0, 206, 8, 28, 46, 36, 44, 35, 31, 0, 0, 0, 0, 0, 0, 0, 0
190396000096, Public, Rural: Remote (43), Regular school, N/A, N/A, N/A, N/A, N/A, no, 394, 29.25, 13.47, 0, 3, 1, 0, 385, 5, 0, 0, 0, 0, 0, 0, 39, 36, 53, 49, 48, 55, 53, 61
190438000113, Public, Rural: Distant (42), Regular school, N/A, N/A, N/A, N/A, N/A, no, 252, 14.00, 18.00, 0, 0, 7, 2, 241, 2, 8, 46, 29, 31, 36, 34, 30, 38, 0, 0, 0, 0, 0, 0
