State Name,FIPS Code,LEA ID,LEA Name,NCES ID,School Name,Student Count,Percent Proficient - All,Count - Native American,Percent Proficient - Native American,Count - Asian/Pacific Islander,Percent Proficient - Asian/Pacific Islander,Count-Black,Percent Proficient - Black,Count - Hispanic,Percent Proficient - Hispanic,Count - Two or More Races,Percent Proficient - Two or More Races,Count - White,Percent Proficient - White,Count - Female,Percent Proficient - Female,Count - Male,Percent Proficient - Male,Count - Disabilities,Percent Proficient - Disabilities,Count - Economically Disadvantaged,Percent Proficient - Economically Disadvantaged,Count - Limited English,Percent Proficient - Limited English,Count - Homeless,Percent Proficient - Homeless,Count - Migrant Students,Percent Proficient - Migrant
IOWA,19,1903480,Alta Comm School District,190348000045,Alta Elementary School,88,70-74,0,n/a,0,n/a,0,n/a,20,60-79,0,n/a,68,70-74,41,70-79,47,70-79,9,LT50,43,60-69,5,PS,0,n/a,1,PS
IOWA,19,1903480,Alta Comm School District,190348000046,Alta Senior High School,50,80-89,0,n/a,0,n/a,2,PS,6,GE50,0,n/a,42,80-89,23,60-79,27,GE80,4,PS,17,40-59,0,n/a,0,n/a,0,n/a
IOWA,19,1920580,Newell-Fonda Comm School District,192058001218,Newell-Fonda High School,33,70-79,0,n/a,0,n/a,0,n/a,1,PS,0,n/a,32,70-79,14,GE50,19,60-79,6,LT50,14,GE50,1,PS,0,n/a,0,n/a
IOWA,19,1920580,Newell-Fonda Comm School District,192058001217,Newell-Fonda Lower Elementary,27,60-79,0,n/a,0,n/a,1,PS,4,PS,0,n/a,22,GE80,9,GE50,18,60-79,3,PS,13,GE50,4,PS,0,n/a,0,n/a
IOWA,19,1920580,Newell-Fonda Comm School District,192058000713,Newell-Fonda Middle Sch.,105,60-64,0,n/a,0,n/a,2,PS,16,40-59,2,PS,85,60-64,56,60-69,49,50-59,7,LT50,43,40-49,6,LT50,0,n/a,0,n/a
IOWA,19,1920580,Newell-Fonda Comm School District,192058000712,Newell-Fonda Upper Elem. Elementary,70,75-79,0,n/a,0,n/a,1,PS,12,LT50,0,n/a,57,80-89,35,70-79,35,80-89,8,LT50,36,70-79,6,LT50,0,n/a,0,n/a
IOWA,19,1900023,Sioux Central Comm School District,190002301541,Sioux Central Elementary School,120,80-84,0,n/a,0,n/a,0,n/a,10,GE50,2,PS,108,80-84,61,75-79,59,80-89,15,LT50,51,80-89,9,GE50,0,n/a,0,n/a
IOWA,19,1900023,Sioux Central Comm School District,190002301896,Sioux Central High,62,80-84,0,n/a,0,n/a,0,n/a,3,PS,0,n/a,59,80-89,26,GE80,36,70-79,2,PS,25,60-79,1,PS,0,n/a,0,n/a
IOWA,19,1900023,Sioux Central Comm School District,190002300835,Sioux Central Middle School,139,65-69,0,n/a,1,PS,0,n/a,11,LT50,0,n/a,127,65-69,58,60-69,81,60-64,17,LE20,54,40-49,7,LT50,0,n/a,0,n/a
IOWA,19,1927390,Storm Lake Comm School District,192739000847,St Lake/IA Cntrl/Buena Vista Early College HS,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a
