["Median Household Size", "Median Household Income", "Number of Occupied Housing Units", "Number of Housing Units", "Non-English Speaking Population", "Foreign-Born", "Number of People Below the Poverty Line", "Total Population"]
2.47, 75938, 163, 186, 6, 0, 0, 403, 50146
2.36, 39219, 163, 219, 3, 0, 89, 384, 50147
2.09, 37604, 183, 188, 6, 0, 55, 383, 50148
2.27, 44226, 335, 462, 0, 0, 137, 759, 50149
2.37, 44615, 438, 491, 0, 0, 128, 1040, 50150
2.36, 58750, 362, 398, 0, 0, 67, 853, 50151
2.47, 70536, 303, 313, 0, 0, 29, 749, 50153
2.52, 63036, 217, 229, 1, 0, 31, 546, 50154
2.14, 52813, 97, 117, 0, 0, 13, 208, 50155
2.47, 52596, 1692, 1823, 24, 0, 329, 4302, 50156
2.07, 52500, 298, 330, 12, 0, 42, 618, 50157
2.52, 46316, 12061, 13039, 2689, 6, 4554, 31427, 50158
2.35, 52500, 190, 195, 0, 0, 21, 446, 50160
2.28, 56944, 862, 912, 3, 0, 130, 1968, 50161
2.52, 56722, 502, 527, 0, 0, 53, 1265, 50162
2.24, 42885, 394, 528, 0, 0, 80, 888, 50163
2.34, 56121, 282, 292, 0, 0, 33, 660, 50164
3.5, 86250, 24, 28, 0, 0, 17, 84, 50165
2.74, 64143, 632, 682, 0, 0, 76, 1733, 50166
2.34, 54107, 220, 266, 0, 0, 5, 514, 50167
2.59, 60688, 295, 341, 0, 0, 82, 764, 50168
2.57, 75938, 1105, 1206, 0, 0, 275, 3492, 50169
2.49, 55313, 1139, 1194, 0, 0, 178, 2837, 50170
2.41, 62108, 1181, 1603, 33, 0, 223, 2969, 50171
2.36, 65294, 304, 318, 3, 0, 37, 716, 50173
2.71, 42778, 516, 596, 0, 0, 199, 1399, 50174
2.35, 55056, 3304, 3519, 95, 0, 505, 7998, 50201
2.44, 65147, 158, 173, 3, 0, 50, 385, 50206
2.61, 54855, 887, 960, 0, 0, 290, 2357, 50207
2.23, 45189, 8380, 9198, 69, 15, 2617, 20475, 50208
2.41, 66667, 716, 787, 4, 0, 70, 1725, 50210
2.64, 71014, 4062, 4275, 16, 0, 447, 10859, 50211
2.52, 58781, 1421, 1532, 18, 0, 134, 3615, 50212
2.57, 45547, 2582, 3035, 484, 0, 768, 6811, 50213
2.54, 83942, 247, 264, 0, 0, 0, 627, 50214
2.42, 66000, 1144, 1614, 0, 2, 108, 2835, 50216
2.19, 41771, 345, 399, 3, 0, 93, 757, 50217
1.83, 30833, 46, 46, 0, 0, 0, 84, 50218
2.6, 67897, 4819, 5330, 44, 0, 791, 14110, 50219
2.74, 43408, 3177, 3728, 1586, 2, 1319, 8858, 50220
2.49, 54821, 281, 286, 0, 0, 75, 701, 50222
2.18, 46518, 221, 228, 0, 0, 76, 482, 50223
2.61, 53785, 1153, 1253, 0, 0, 317, 3043, 50225
2.89, 106009, 1642, 1713, 22, 0, 48, 4801, 50226
3, 78333, 4, 6, 0, 0, 0, 12, 50227
2.38, 48065, 732, 893, 0, 0, 154, 1835, 50228
2.71, 84485, 321, 367, 0, 0, 12, 871, 50229
2.65, 54483, 426, 479, 3, 0, 218, 1130, 50230
2.47, 61750, 68, 75, 0, 0, 2, 168, 50231
2.8, 60069, 179, 217, 0, 0, 97, 502, 50232
2.47, 45156, 537, 608, 0, 0, 262, 1328, 50233
2.04, 37321, 243, 261, 0, 0, 57, 495, 50234
2.48, 29583, 199, 202, 4, 0, 155, 494, 50235
2.6, 61944, 570, 600, 0, 0, 139, 1484, 50236
2.8, 71875, 996, 1013, 0, 0, 50, 2790, 50237
2.39, 51250, 381, 534, 1, 0, 161, 912, 50238
2.87, 60625, 75, 91, 0, 0, 9, 215, 50239
2.74, 65417, 1023, 1072, 18, 0, 270, 2801, 50240
2.77, 53438, 163, 180, 0, 0, 32, 452, 50242
2.13, 41250, 97, 105, 0, 0, 6, 207, 50243
2.73, 66250, 733, 788, 6, 0, 82, 2001, 50244
2.02, 53438, 350, 354, 10, 0, 72, 707, 50246
2.7, 57241, 805, 868, 39, 0, 235, 2243, 50247
2.26, 55785, 1930, 2041, 63, 0, 199, 4540, 50248
2.23, 41844, 533, 597, 3, 0, 74, 1229, 50249
2.24, 48665, 1101, 1237, 4, 0, 392, 2530, 50250
2.51, 55985, 478, 506, 2, 0, 18, 1202, 50251
3.35, 31765, 48, 85, 1, 0, 4, 161, 50252
2.67, 51563, 181, 207, 0, 0, 93, 483, 50254
2.38, 43500, 16, 16, 0, 0, 0, 38, 50255
2.42, 53214, 282, 307, 0, 0, 56, 682, 50256
2.97, 62857, 310, 339, 1, 0, 39, 924, 50257
2.7, 48750, 394, 455, 11, 0, 47, 1064, 50258
2.91, 89028, 823, 877, 6, 0, 64, 2396, 50261
2.52, 30962, 152, 191, 1, 0, 112, 383, 50262
2.65, 78908, 5735, 5994, 90, 0, 742, 15205, 50263
2.43, 37188, 141, 206, 4, 0, 46, 342, 50264
2.44, 66517, 12726, 13880, 764, 0, 1714, 31290, 50265
2.26, 68795, 10327, 11128, 384, 0, 1769, 23405, 50266
2.42, 43056, 452, 507, 2, 0, 213, 1094, 50268
2.61, 45625, 318, 374, 7, 0, 88, 829, 50271
1.88, 35893, 77, 114, 0, 0, 35, 145, 50272
2.62, 49782, 2994, 3389, 78, 0, 943, 8089, 50273
1.96, 40250, 166, 209, 0, 0, 12, 325, 50274
2.51, 42500, 224, 255, 0, 0, 107, 562, 50275
2.39, 57900, 904, 961, 0, 0, 260, 2621, 50276
1.96, 49688, 194, 206, 0, 0, 21, 381, 50277
2.38, 54696, 391, 422, 0, 0, 48, 960, 50278
1.54, 30864, 2945, 3417, 352, 33, 1415, 5508, 50309
2.27, 54891, 12903, 13889, 785, 0, 3258, 29655, 50310
2.31, 42834, 5699, 6289, 394, 0, 2876, 15269, 50311
1.99, 49285, 7641, 8156, 189, 0, 1811, 15531, 50312
2.56, 50762, 6724, 7242, 734, 0, 2599, 17460, 50313
2.6, 30827, 4258, 4992, 1455, 3, 3232, 11729, 50314
2.43, 41501, 14814, 15653, 1185, 0, 6207, 36600, 50315
2.69, 33175, 5957, 6627, 1523, 9, 3784, 16601, 50316
2.47, 46600, 14246, 15316, 808, 0, 5041, 35487, 50317
na, na, 0, 0, 0, 0, 0, 0, 50319
2.74, 52697, 7267, 7844, 1455, 0, 2954, 19930, 50320
2.33, 55711, 3304, 3620, 30, 0, 698, 8040, 50321
2.37, 70377, 12949, 13606, 250, 0, 1218, 30879, 50322
2.9, 131398, 3420, 3836, 17, 0, 390, 9917, 50323
2.2, 66997, 2191, 2358, 39, 0, 273, 4854, 50324
2.72, 101759, 5603, 5848, 703, 0, 720, 15237, 50325
2.61, 74430, 3843, 4049, 104, 0, 545, 10102, 50327
2.12, 42513, 13539, 14039, 285, 0, 4431, 29542, 50401
2.08, 41250, 129, 154, 0, 0, 46, 268, 50420
2.05, 41898, 1313, 1477, 58, 0, 150, 2747, 50421
2.27, 45172, 1288, 1431, 111, 0, 290, 3035, 50423
2.23, 50893, 711, 777, 32, 0, 113, 1620, 50424
1.96, 49583, 24, 28, 0, 0, 0, 47, 50426
2.15, 52575, 4306, 5552, 26, 0, 1038, 9479, 50428
2.35, 48571, 206, 240, 0, 0, 47, 484, 50430
2.85, 33750, 150, 179, 88, 0, 125, 427, 50431
1.77, 34722, 126, 168, 0, 0, 15, 223, 50432
2.19, 56250, 107, 140, 0, 0, 8, 236, 50433
2.17, 41838, 197, 197, 10, 0, 6, 427, 50434
2.79, 58333, 222, 242, 0, 0, 38, 619, 50435
2.25, 45932, 2310, 2644, 45, 0, 502, 5568, 50436
2.54, 62164, 1604, 1688, 0, 0, 306, 4151, 50438
1.94, 55096, 109, 178, 15, 0, 23, 212, 50439
2.09, 53125, 210, 224, 2, 0, 3, 439, 50440
2.4, 45413, 2416, 2851, 277, 0, 789, 5910, 50441
2.41, 49868, 180, 220, 5, 0, 149, 433, 50444
2.48, 51250, 229, 269, 5, 0, 52, 567, 50446
2.33, 36154, 550, 620, 12, 0, 253, 1314, 50447
2.18, 56406, 270, 293, 2, 0, 28, 588, 50448
2.52, 59722, 384, 403, 0, 0, 150, 966, 50449
2.1, 43423, 1273, 1409, 19, 0, 216, 2722, 50450
2.13, 54464, 223, 233, 2, 0, 23, 474, 50451
2.71, 52361, 361, 408, 45, 0, 97, 978, 50452
2.37, 54792, 283, 295, 35, 0, 22, 670, 50453
3.04, 47589, 45, 45, 0, 0, 0, 137, 50454
2.53, 49286, 150, 188, 0, 0, 67, 379, 50455
2.39, 50324, 705, 769, 2, 0, 176, 1716, 50456
2.62, 43478, 216, 216, 0, 0, 95, 565, 50457
2.23, 51023, 906, 999, 0, 0, 226, 2089, 50458
2.22, 49318, 1344, 1442, 15, 0, 407, 3057, 50459
2.17, 46845, 83, 134, 0, 0, 8, 180, 50460
2.35, 45750, 2368, 2620, 6, 0, 379, 5690, 50461
2.5, 52500, 320, 346, 0, 0, 66, 800, 50464
2.16, 55417, 68, 87, 0, 0, 6, 147, 50465
2.56, 46726, 731, 774, 0, 0, 140, 1913, 50466
2.54, 62500, 26, 26, 0, 0, 0, 66, 50467
2.48, 50227, 642, 695, 0, 0, 141, 1589, 50468
2.28, 53780, 662, 706, 6, 0, 51, 1550, 50469
2.45, 48854, 119, 159, 3, 0, 59, 291, 50470
2.29, 60938, 286, 291, 5, 0, 22, 655, 50471
2.5, 58421, 1022, 1094, 4, 0, 159, 2625, 50472
2.3, 65833, 86, 104, 0, 0, 14, 198, 50473
2.67, 54167, 596, 635, 0, 0, 137, 1634, 50475
2.47, 50625, 311, 352, 2, 0, 52, 795, 50476
2.19, 46181, 145, 159, 0, 0, 13, 318, 50477
2.46, 42750, 415, 434, 4, 0, 145, 1022, 50478
2.25, 51823, 317, 342, 0, 0, 40, 713, 50479
1.98, 46957, 402, 458, 15, 0, 46, 834, 50480
2.13, 60625, 412, 508, 0, 0, 22, 877, 50482
2.35, 55139, 329, 391, 2, 0, 69, 773, 50483
2.01, 43636, 172, 197, 0, 0, 27, 345, 50484
2.27, 40857, 12056, 12919, 311, 0, 4267, 28918, 50501
2.25, 54457, 462, 544, 0, 0, 92, 1073, 50510
2.2, 48734, 3157, 3407, 11, 0, 681, 7161, 50511
2.39, 52024, 594, 649, 0, 0, 80, 1459, 50514
2.17, 24219, 103, 135, 0, 0, 23, 224, 50515
2.38, 53036, 241, 313, 0, 0, 11, 573, 50516
2.37, 43125, 433, 506, 18, 0, 111, 1071, 50517
2.51, 68333, 190, 198, 0, 0, 0, 476, 50518
2.54, 38750, 228, 266, 25, 4, 93, 579, 50519
2.03, 40417, 71, 73, 0, 0, 11, 144, 50520
1.28, 50625, 53, 64, 0, 0, 0, 68, 50521
2.28, 42794, 340, 409, 0, 0, 95, 823, 50522
2.58, 54750, 260, 318, 0, 0, 79, 671, 50523
2.28, 47212, 213, 235, 3, 0, 38, 486, 50524
2.42, 38649, 1504, 1878, 137, 0, 560, 3715, 50525
2.15, 30208, 109, 114, 0, 0, 1, 234, 50527
2.47, 60556, 192, 226, 5, 0, 7, 475, 50528
2.4, 49375, 335, 368, 9, 0, 78, 805, 50529
2.47, 36731, 534, 557, 0, 0, 176, 1353, 50530
2.46, 60625, 120, 171, 0, 0, 10, 295, 50531
2.32, 44271, 401, 426, 0, 0, 97, 931, 50532
2.57, 44071, 1528, 1833, 284, 0, 557, 4008, 50533
2.35, 51429, 344, 383, 9, 0, 81, 808, 50535
2.23, 48438, 1924, 2123, 24, 0, 514, 4570, 50536
1.81, 43750, 286, 295, 0, 0, 46, 518, 50538
2.5, 55515, 251, 290, 1, 0, 25, 628, 50539
2.27, 46217, 437, 489, 6, 0, 85, 1020, 50540
1.96, 41705, 401, 499, 0, 0, 68, 786, 50541
2.26, 50000, 448, 514, 0, 0, 47, 1011, 50542
2.59, 50455, 630, 670, 5, 0, 325, 1671, 50543
2.65, 46667, 230, 264, 0, 0, 47, 609, 50544
3.05, 47434, 84, 84, 0, 0, 7, 256, 50545
2.69, 52279, 177, 192, 0, 0, 132, 476, 50546
2.4, 52755, 2419, 2630, 75, 0, 475, 5970, 50548
2.15, 51607, 33, 42, 0, 0, 0, 71, 50551
2.09, 37083, 791, 933, 6, 0, 287, 1681, 50554
2.08, 46094, 136, 181, 1, 0, 15, 283, 50556
1.83, 35962, 386, 432, 0, 0, 65, 706, 50557
2.21, 42000, 308, 330, 0, 0, 87, 681, 50558
2.22, 44167, 150, 169, 0, 0, 29, 333, 50559
2.23, 51458, 251, 335, 0, 0, 49, 560, 50560
2.01, 42273, 270, 315, 0, 0, 20, 544, 50561
2.1, 37721, 245, 259, 3, 0, 50, 514, 50562
2.15, 48021, 1127, 1292, 0, 0, 282, 2460, 50563
2.43, 40417, 211, 241, 2, 0, 74, 513, 50565
2.12, 39688, 149, 155, 0, 0, 16, 316, 50566
2.5, 71591, 84, 84, 9, 0, 35, 210, 50567
2.37, 45385, 550, 583, 2, 0, 101, 1346, 50568
2.56, 39125, 359, 368, 8, 0, 87, 918, 50569
2.44, 81250, 82, 90, 0, 0, 8, 200, 50570
2.1, 41250, 168, 226, 8, 0, 50, 353, 50571
3.04, 58750, 26, 32, 0, 0, 0, 79, 50573
1.95, 40169, 1105, 1153, 0, 0, 208, 2240, 50574
2.23, 42875, 421, 522, 42, 0, 135, 986, 50575
2, 39219, 207, 234, 40, 0, 75, 413, 50576
1.66, 37639, 201, 225, 8, 0, 22, 334, 50577
2.25, 50000, 312, 381, 0, 0, 44, 702, 50578
2.32, 46932, 1008, 1156, 0, 0, 280, 2839, 50579
2.51, 38854, 361, 451, 5, 0, 83, 938, 50581
1.74, 33182, 110, 129, 0, 0, 18, 191, 50582
2.12, 39977, 1179, 1475, 0, 0, 174, 2614, 50583
2.29, 36679, 429, 502, 24, 0, 103, 1005, 50585
2.11, 59667, 92, 114, 0, 0, 24, 194, 50586
2.55, 45682, 4500, 4803, 2119, 0, 1425, 12553, 50588
2.03, 37946, 405, 456, 2, 0, 97, 824, 50590
2.39, 55813, 125, 135, 0, 0, 26, 299, 50591
2.74, 41250, 19, 54, 0, 0, 2, 52, 50593
2.66, 57667, 116, 126, 19, 0, 17, 309, 50594
2.31, 44265, 3870, 4263, 170, 85, 800, 9046, 50595
2.47, 49079, 486, 550, 11, 0, 92, 1245, 50597
2.45, 61029, 438, 472, 3, 0, 20, 1071, 50598
2.94, 48676, 192, 218, 0, 0, 13, 565, 50599
2.44, 49844, 1008, 1122, 77, 0, 220, 2517, 50601
2.32, 42100, 690, 755, 10, 0, 256, 1684, 50602
2.73, 46042, 245, 272, 2, 0, 58, 668, 50603
2.31, 47188, 703, 780, 0, 0, 234, 1675, 50604
2.16, 31250, 68, 68, 0, 0, 8, 147, 50605
2.5, 40250, 422, 467, 70, 0, 149, 1057, 50606
2.6, 48417, 218, 229, 0, 0, 181, 566, 50607
2.42, 52361, 197, 231, 0, 0, 24, 476, 50609
2.59, 62344, 133, 170, 0, 0, 34, 345, 50611
2.62, 70375, 145, 165, 0, 0, 0, 380, 50612
2.41, 49222, 15139, 15998, 50, 0, 7155, 41382, 50613
2.26, 39075, 4473, 4820, 71, 0, 1789, 10444, 50616
2.59, 50724, 973, 1038, 0, 0, 157, 2532, 50619
2.36, 38333, 44, 59, 0, 0, 55, 104, 50620
2.48, 52159, 619, 708, 0, 0, 39, 1567, 50621
2.39, 67208, 1225, 1245, 10, 0, 130, 2959, 50622
2.9, 71328, 685, 721, 0, 0, 51, 1985, 50624
2.42, 41219, 455, 530, 11, 0, 244, 1132, 50625
2.62, 59479, 634, 681, 0, 0, 85, 1664, 50626
2.35, 50824, 1330, 1668, 15, 0, 385, 3525, 50627
2.47, 45299, 581, 617, 11, 0, 261, 1487, 50628
2.79, 65761, 860, 967, 0, 0, 185, 2403, 50629
2.24, 45202, 851, 896, 8, 0, 169, 1922, 50630
