["Median Household Size", "Median Household Income", "Number of Occupied Housing Units", "Number of Housing Units", "Non-English Speaking Population", "Foreign-Born", "Number of People Below the Poverty Line", "Total Population"]
2.17, 47188, 35, 40, 0, 0, 3, 76, 51008
3.12, 54028, 91, 96, 0, 0, 49, 284, 51009
1.72, 28750, 194, 245, 0, 0, 44, 333, 51010
2.26, 16771, 27, 34, 12, 0, 10, 61, 51011
2.01, 39345, 3112, 3299, 41, 0, 185, 6568, 51012
1.95, 57188, 239, 274, 0, 0, 15, 467, 51014
2.61, 40380, 590, 633, 10, 0, 438, 1572, 51016
1.76, 33750, 189, 220, 0, 0, 66, 333, 51018
2.5, 57578, 351, 372, 0, 0, 65, 876, 51019
2.37, 47500, 298, 307, 4, 0, 59, 707, 51020
2.64, 58359, 333, 362, 84, 0, 24, 880, 51022
2.5, 44547, 1241, 1390, 317, 0, 331, 3166, 51023
2.68, 67419, 678, 784, 8, 0, 37, 1815, 51024
2.22, 54063, 822, 916, 0, 0, 126, 1869, 51025
2.32, 48438, 303, 340, 1, 0, 47, 706, 51026
2.85, 54318, 524, 595, 17, 0, 104, 1491, 51027
2.45, 51827, 895, 931, 6, 0, 103, 2229, 51028
2.59, 65962, 104, 108, 0, 0, 20, 269, 51029
2.67, 67321, 677, 697, 22, 0, 121, 1810, 51030
2.43, 52596, 4818, 5189, 257, 0, 534, 11954, 51031
2.32, 70203, 207, 238, 22, 0, 25, 480, 51033
2.23, 40700, 766, 862, 0, 0, 233, 1763, 51034
2.37, 56417, 692, 750, 2, 0, 58, 1683, 51035
3.09, 48403, 215, 265, 7, 0, 100, 664, 51036
2.02, 37159, 135, 137, 0, 0, 8, 273, 51037
2.68, 64241, 643, 659, 0, 0, 80, 1725, 51038
2.59, 58438, 921, 945, 8, 0, 138, 2389, 51039
2.31, 40473, 1698, 1973, 19, 0, 495, 4023, 51040
2.61, 57583, 2214, 2334, 31, 0, 367, 7033, 51041
2.29, 44167, 100, 148, 0, 0, 16, 229, 51044
2.27, 43986, 740, 827, 3, 0, 223, 1704, 51046
2.44, 49583, 392, 409, 2, 0, 129, 975, 51047
2.39, 40278, 268, 294, 0, 0, 77, 640, 51048
2.2, 43906, 220, 230, 0, 0, 53, 485, 51049
2.5, 59091, 1104, 1135, 0, 0, 140, 2821, 51050
2.53, 46875, 47, 47, 0, 0, 8, 119, 51051
2.59, 63894, 345, 407, 3, 3, 51, 894, 51052
2.55, 45568, 485, 571, 26, 0, 138, 1239, 51053
2.69, 75737, 1784, 1888, 34, 0, 178, 4843, 51054
2.41, 50083, 489, 554, 2, 0, 47, 1179, 51055
2.05, 49188, 227, 241, 0, 0, 6, 465, 51056
2.4, 44063, 435, 474, 0, 0, 108, 1077, 51058
2.07, 32500, 280, 326, 0, 0, 64, 579, 51060
2.42, 45500, 202, 229, 0, 0, 94, 489, 51061
2.64, 66641, 265, 334, 17, 0, 38, 699, 51062
2.34, 40208, 431, 462, 2, 0, 127, 1088, 51063
1.38, 22530, 473, 526, 96, 0, 146, 828, 51101
2.73, 38151, 6282, 6801, 1592, 72, 3956, 17497, 51103
2.54, 49448, 8402, 9072, 984, 0, 2956, 22112, 51104
2.46, 27367, 3592, 3934, 1128, 0, 2694, 8920, 51105
2.51, 50459, 10122, 10636, 656, 0, 2641, 26825, 51106
2.79, 58554, 2123, 2266, 119, 0, 786, 5962, 51108
2.53, 46406, 1229, 1289, 67, 0, 377, 3111, 51109
2.09, 41473, 140, 140, 0, 0, 0, 292, 51111
2.14, 47478, 2725, 2874, 83, 0, 427, 6059, 51201
2.79, 50865, 213, 222, 0, 0, 33, 595, 51230
2.22, 54500, 72, 72, 0, 0, 11, 160, 51231
2.67, 57188, 386, 430, 4, 0, 72, 1036, 51232
2.43, 55278, 444, 470, 30, 0, 52, 1079, 51234
2.69, 48333, 374, 374, 0, 0, 174, 1006, 51235
2.25, 48241, 680, 770, 3, 0, 180, 1560, 51237
2.38, 55000, 486, 498, 9, 0, 48, 1156, 51238
2.95, 63194, 1086, 1115, 81, 0, 162, 3250, 51239
2.51, 48264, 659, 702, 14, 0, 82, 1696, 51240
2.77, 51736, 605, 611, 2, 0, 121, 1680, 51241
3.08, 49844, 73, 105, 0, 0, 13, 225, 51242
2.44, 42361, 349, 378, 0, 0, 59, 853, 51243
2.54, 41250, 24, 24, 0, 0, 0, 61, 51244
2.6, 46731, 580, 712, 5, 0, 245, 1595, 51245
2.63, 51964, 1427, 1659, 0, 0, 178, 3853, 51246
2.4, 44591, 1773, 1837, 71, 0, 448, 4380, 51247
2.18, 41058, 653, 671, 2, 0, 139, 1478, 51248
2.42, 46719, 1405, 1543, 155, 0, 406, 3514, 51249
2.91, 59042, 2540, 2626, 464, 12, 431, 8450, 51250
2.2, 44735, 5565, 6108, 182, 0, 1463, 12490, 51301
1.77, 52083, 546, 1045, 1, 0, 11, 968, 51331
2.42, 47000, 224, 231, 0, 0, 12, 541, 51333
2.3, 43291, 3101, 3459, 358, 11, 960, 7556, 51334
2.38, 48542, 421, 449, 0, 0, 98, 1003, 51338
1.97, 32500, 36, 40, 0, 0, 13, 71, 51341
2.48, 40865, 569, 704, 5, 0, 123, 1423, 51342
2.42, 60000, 92, 104, 0, 0, 43, 223, 51343
2.42, 54327, 187, 203, 6, 0, 17, 453, 51345
2.31, 47137, 999, 1114, 75, 0, 332, 2389, 51346
2.26, 57188, 646, 810, 10, 0, 42, 1495, 51347
2.25, 33750, 202, 246, 0, 0, 16, 454, 51350
2.02, 47697, 2138, 2918, 0, 0, 497, 4365, 51351
2.4, 40156, 453, 500, 7, 0, 48, 1088, 51354
1.59, 53036, 417, 1247, 9, 0, 65, 696, 51355
2.49, 32292, 324, 327, 0, 0, 155, 807, 51357
2.33, 49808, 540, 747, 0, 0, 91, 1298, 51358
2.07, 55088, 4072, 6416, 48, 7, 676, 8592, 51360
2.07, 52639, 91, 98, 0, 0, 20, 188, 51363
2.1, 37188, 295, 334, 2, 0, 100, 620, 51364
2.66, 49205, 121, 137, 5, 0, 17, 464, 51365
2.25, 48750, 205, 238, 0, 0, 47, 462, 51366
2.32, 49893, 5083, 5467, 81, 0, 1108, 12153, 51401
2.79, 54432, 245, 267, 0, 0, 42, 683, 51430
2.17, 47833, 156, 164, 0, 0, 14, 338, 51431
2.33, 48401, 263, 290, 6, 0, 56, 612, 51433
2.68, 59875, 406, 447, 3, 0, 38, 1087, 51436
2.36, 44265, 432, 492, 10, 0, 111, 1021, 51439
2.75, 46094, 147, 180, 0, 0, 9, 404, 51440
2.25, 25000, 142, 165, 34, 0, 105, 320, 51441
2.69, 45381, 3362, 3540, 1591, 0, 1128, 9591, 51442
2.29, 46974, 772, 783, 6, 0, 143, 1772, 51443
2.9, 43929, 40, 40, 0, 0, 2, 116, 51444
2.17, 42311, 1330, 1429, 1, 0, 352, 2946, 51445
2.29, 48571, 266, 286, 2, 0, 26, 609, 51446
1.9, 40000, 88, 111, 0, 0, 9, 167, 51447
2.56, 41563, 250, 283, 37, 0, 141, 641, 51448
2.18, 37066, 873, 975, 5, 0, 249, 2008, 51449
2.07, 40590, 839, 1172, 4, 0, 232, 1766, 51450
2.32, 45000, 44, 75, 0, 0, 20, 102, 51451
2.21, 46118, 297, 325, 3, 0, 74, 657, 51453
2.57, 52813, 551, 640, 14, 0, 84, 1461, 51454
2.35, 40625, 1065, 1144, 14, 0, 375, 2586, 51455
2.3, 52500, 696, 781, 0, 0, 76, 1655, 51458
2.55, 45000, 44, 44, 0, 0, 5, 112, 51459
2.33, 45595, 522, 582, 15, 0, 107, 1215, 51461
2.34, 47750, 455, 517, 0, 0, 107, 1066, 51462
2.41, 50000, 244, 272, 0, 0, 49, 587, 51463
2.55, 48636, 294, 316, 36, 0, 79, 749, 51465
2.15, 41250, 414, 440, 0, 0, 131, 953, 51466
2.14, 53500, 336, 356, 0, 0, 43, 719, 51467
2.49, 39055, 13931, 15254, 1285, 0, 6037, 35076, 51501
2.49, 57449, 14174, 15197, 570, 0, 3948, 36460, 51503
2.77, 47333, 1344, 1433, 181, 0, 406, 3720, 51510
2.98, 29605, 96, 115, 7, 0, 36, 286, 51520
2.23, 54688, 837, 909, 12, 0, 157, 1895, 51521
1.93, 38214, 148, 204, 2, 0, 34, 285, 51523
2.4, 57500, 456, 507, 0, 0, 53, 1096, 51525
2.49, 80400, 696, 720, 0, 0, 75, 1736, 51526
2.59, 41563, 198, 200, 3, 0, 83, 512, 51527
2.45, 36518, 386, 398, 89, 0, 197, 946, 51528
2.44, 49712, 721, 786, 10, 0, 125, 1805, 51529
2.74, 41875, 368, 387, 1, 0, 96, 1050, 51530
2.23, 46538, 348, 416, 0, 0, 25, 858, 51531
2.73, 45109, 210, 224, 0, 0, 68, 573, 51532
2.45, 55714, 398, 420, 0, 0, 95, 975, 51533
2.67, 68388, 3259, 3543, 28, 0, 589, 9219, 51534
2.17, 48894, 773, 816, 0, 0, 86, 1714, 51535
2, 71786, 200, 200, 2, 0, 11, 399, 51536
2.27, 46034, 2811, 3067, 0, 0, 671, 6503, 51537
2.28, 36544, 231, 239, 0, 0, 58, 526, 51540
2.51, 40000, 148, 200, 0, 0, 35, 372, 51541
2.53, 80688, 421, 445, 10, 0, 37, 1066, 51542
2.49, 36696, 161, 177, 0, 0, 37, 401, 51543
2.59, 44938, 364, 371, 4, 0, 103, 941, 51544
2.35, 51944, 200, 267, 0, 0, 135, 470, 51545
2.64, 56823, 1041, 1147, 4, 0, 247, 2808, 51546
2.46, 65300, 146, 146, 0, 0, 27, 359, 51548
2.03, 40714, 186, 199, 0, 0, 17, 377, 51549
2.51, 57500, 82, 82, 0, 0, 12, 206, 51550
2.55, 70913, 693, 733, 7, 0, 141, 1831, 51551
2.43, 54922, 95, 119, 0, 0, 38, 231, 51552
2.93, 67083, 381, 403, 0, 0, 111, 1115, 51553
2.49, 41635, 67, 67, 0, 0, 0, 167, 51554
2.47, 60188, 2069, 2208, 50, 0, 259, 5225, 51555
2.65, 48125, 196, 249, 0, 0, 101, 520, 51556
2.66, 71417, 404, 546, 0, 0, 69, 1074, 51557
2.07, 49088, 267, 306, 0, 0, 40, 553, 51558
2.5, 66458, 690, 767, 0, 0, 153, 1722, 51559
2.43, 51336, 855, 936, 12, 0, 311, 2137, 51560
2.66, 47802, 547, 583, 1, 0, 185, 1454, 51561
2.8, 46442, 201, 226, 0, 0, 62, 562, 51562
2.44, 42153, 217, 235, 0, 0, 50, 535, 51563
2.09, 44583, 233, 283, 0, 0, 87, 486, 51564
2.32, 54306, 251, 251, 0, 0, 57, 583, 51565
2.24, 32835, 3026, 3584, 96, 0, 1107, 6938, 51566
2.61, 47159, 351, 431, 10, 0, 205, 961, 51570
2.36, 78438, 291, 298, 0, 0, 16, 687, 51571
2.28, 43750, 170, 212, 0, 0, 6, 387, 51572
2.46, 57500, 420, 457, 0, 0, 68, 1076, 51573
2.68, 75227, 546, 610, 3, 0, 13, 1463, 51575
2.66, 74978, 729, 783, 8, 0, 80, 1936, 51576
2.61, 54107, 553, 619, 0, 0, 184, 1441, 51577
2.41, 51000, 22, 22, 0, 0, 4, 53, 51578
2.16, 44400, 1028, 1074, 3, 0, 277, 2284, 51579
2.26, 39946, 2601, 2948, 111, 0, 782, 6003, 51601
2.07, 22237, 84, 94, 0, 0, 29, 174, 51630
2.1, 52188, 119, 158, 2, 0, 17, 250, 51631
2.26, 41680, 2488, 2836, 32, 0, 564, 7031, 51632
2.31, 45000, 222, 236, 0, 0, 54, 513, 51636
2.87, 30625, 97, 110, 0, 0, 56, 278, 51637
2.33, 47625, 616, 675, 11, 0, 156, 1434, 51638
2.28, 49167, 464, 477, 0, 0, 73, 1059, 51639
2.31, 44868, 708, 829, 32, 0, 169, 1643, 51640
2.07, 52692, 116, 165, 0, 0, 3, 240, 51645
2.39, 43393, 397, 471, 0, 0, 78, 949, 51646
3.84, 59583, 55, 55, 0, 0, 11, 211, 51647
2.05, 29375, 106, 120, 43, 0, 90, 217, 51648
2.28, 45179, 145, 178, 0, 0, 34, 330, 51649
2.48, 50455, 148, 173, 4, 0, 31, 367, 51650
2.32, 46625, 646, 699, 6, 0, 105, 1626, 51652
2.61, 57250, 563, 608, 0, 0, 134, 1508, 51653
2.34, 68229, 233, 245, 0, 0, 43, 546, 51654
3.15, 60208, 27, 34, 0, 0, 0, 85, 51656
2.28, 41109, 17583, 18751, 199, 0, 5608, 43698, 52001
2.49, 64947, 5671, 5957, 85, 0, 629, 14201, 52002
2.48, 63935, 5358, 5567, 45, 0, 736, 13578, 52003
2.65, 41667, 140, 155, 0, 0, 55, 371, 52030
2.44, 53031, 2309, 2639, 9, 0, 349, 5712, 52031
2.32, 43417, 534, 786, 2, 0, 80, 1238, 52032
2.55, 56689, 1222, 1272, 37, 0, 322, 3176, 52033
2.36, 42039, 384, 446, 0, 0, 72, 908, 52035
2.65, 54875, 510, 552, 12, 0, 41, 1351, 52037
2.32, 57500, 198, 206, 0, 0, 1, 459, 52038
2.49, 58281, 352, 360, 4, 0, 24, 878, 52039
2.42, 45903, 2212, 2247, 0, 0, 388, 5387, 52040
2.88, 56250, 584, 622, 2, 4, 40, 1682, 52041
2.69, 50000, 654, 703, 9, 9, 321, 1823, 52042
2.24, 49875, 1008, 1065, 10, 0, 324, 2338, 52043
2.72, 35938, 105, 112, 0, 0, 53, 288, 52044
2.71, 63580, 868, 879, 0, 0, 161, 2486, 52045
2.99, 64408, 777, 788, 5, 0, 73, 2326, 52046
2.48, 63214, 240, 251, 0, 0, 34, 595, 52047
1.87, 29861, 117, 117, 0, 0, 7, 219, 52048
2.48, 51205, 546, 716, 34, 0, 182, 1414, 52049
2.78, 44494, 219, 226, 0, 0, 91, 609, 52050
2.17, 43068, 1281, 1758, 13, 0, 235, 2888, 52052
2.61, 43571, 378, 382, 0, 0, 168, 985, 52053
2.26, 64350, 355, 378, 0, 0, 68, 803, 52054
2.29, 47637, 3460, 3744, 115, 0, 673, 8073, 52057
2.31, 37500, 3688, 3912, 17, 0, 1070, 8703, 52060
2.41, 54375, 340, 408, 0, 0, 43, 821, 52064
2.26, 50114, 467, 486, 1, 0, 48, 1055, 52065
1.9, 35288, 63, 113, 0, 0, 10, 120, 52066
2.74, 72123, 1426, 1426, 0, 0, 130, 3926, 52068
2.63, 55842, 619, 643, 16, 0, 83, 1633, 52069
2.15, 47688, 483, 577, 2, 0, 57, 1039, 52070
2.05, 36200, 188, 198, 0, 0, 61, 385, 52072
2.75, 52981, 459, 513, 0, 0, 41, 1263, 52073
2.21, 56364, 144, 144, 3, 0, 29, 318, 52074
2.32, 44063, 952, 1082, 13, 0, 163, 2301, 52076
2.51, 31667, 160, 176, 0, 0, 40, 403, 52077
2.74, 59773, 374, 374, 0, 0, 27, 1025, 52078
2.27, 45500, 332, 349, 0, 0, 59, 753, 52079
2.29, 51887, 5048, 5482, 59, 11, 1165, 13938, 52101
2.36, 49917, 782, 892, 7, 0, 204, 1849, 52132
2.6, 51250, 215, 262, 0, 0, 41, 558, 52133
2.41, 63125, 145, 180, 0, 0, 20, 350, 52134
2.48, 37396, 349, 413, 0, 0, 148, 865, 52135
2.31, 45950, 2432, 2589, 27, 0, 557, 5836, 52136
2.07, 39871, 321, 468, 10, 0, 0, 663, 52140
2.48, 39955, 573, 596, 0, 0, 254, 1427, 52141
2.43, 39053, 521, 685, 0, 0, 288, 1765, 52142
2.41, 58125, 467, 482, 0, 0, 156, 1127, 52144
1.9, 47734, 485, 1159, 0, 0, 19, 992, 52146
2.5, 47388, 411, 426, 0, 0, 63, 1028, 52147
2.17, 39545, 928, 1393, 2, 0, 121, 2064, 52151
1.98, 47973, 366, 398, 2, 0, 24, 727, 52154
2.04, 45714, 552, 616, 24, 0, 111, 1125, 52155
2.37, 42083, 328, 328, 27, 0, 219, 776, 52156
2.29, 51510, 799, 933, 7, 0, 281, 1880, 52157
1.8, 42321, 161, 201, 0, 0, 24, 289, 52158
2.44, 47946, 1062, 1112, 2, 0, 318, 2596, 52159
2.47, 50550, 301, 337, 41, 61, 60, 742, 52160
2.56, 58194, 611, 621, 0, 0, 86, 1584, 52161
2.62, 51139, 1255, 1433, 303, 69, 488, 3369, 52162
1.85, 30167, 154, 219, 0, 0, 40, 285, 52163
2.6, 45938, 65, 78, 0, 0, 4, 169, 52164
2.19, 40288, 409, 446, 0, 0, 27, 897, 52165
1.93, 33542, 40, 40, 0, 0, 3, 77, 52166
2.84, 50000, 56, 56, 0, 0, 37, 159, 52168
2.59, 52019, 188, 195, 0, 0, 58, 487, 52169
2.22, 56806, 281, 333, 0, 0, 105, 623, 52170
2.18, 42880, 459, 491, 0, 0, 85, 1002, 52171
2.41, 47105, 2546, 2831, 71, 0, 804, 6351, 52172
2.25, 48125, 1549, 1760, 5, 0, 269, 3657, 52175
2.54, 67569, 438, 498, 24, 0, 144, 1113, 52201
2.63, 53750, 377, 386, 0, 0, 44, 993, 52202
2.42, 60694, 765, 805, 0, 0, 11, 1941, 52203
2.44, 54454, 3131, 3453, 69, 0, 327, 8884, 52205
3, 80625, 821, 875, 9, 0, 23, 2464, 52206
2.18, 43523, 163, 202, 0, 0, 34, 356, 52207
2.01, 36777, 1499, 1577, 66, 0, 309, 3080, 52208
2.4, 51667, 426, 482, 50, 0, 54, 1022, 52209
2.73, 54118, 306, 321, 0, 0, 19, 834, 52210
2.33, 45865, 1206, 1615, 21, 0, 250, 2873, 52211
2.61, 55750, 107, 138, 0, 0, 12, 279, 52212
2.66, 68438, 1584, 1666, 6, 0, 138, 4217, 52213
2.48, 50881, 1285, 1341, 29, 0, 264, 3184, 52214
2.63, 56250, 326, 363, 76, 0, 26, 856, 52215
2.53, 52500, 542, 566, 0, 0, 123, 1402, 52216
2.55, 35000, 218, 225, 5, 0, 80, 555, 52217
2.56, 64750, 688, 851, 0, 0, 96, 1760, 52218
2.59, 48333, 80, 86, 0, 0, 11, 207, 52219
3.03, 67054, 59, 59, 0, 0, 0, 179, 52220
2.27, 42321, 81, 98, 0, 0, 13, 184, 52221
2.31, 55223, 249, 258, 0, 0, 31, 576, 52222
2.24, 57500, 680, 986, 7, 0, 19, 1574, 52223
2.77, 52500, 880, 978, 0, 0, 125, 2476, 52224
2.58, 43125, 125, 168, 0, 0, 11, 322, 52225
2.96, 84760, 891, 965, 0, 0, 51, 2639, 52227
2.6, 77381, 978, 991, 9, 0, 67, 2547, 52228
2.51, 57153, 285, 333, 0, 0, 65, 715, 52229
2.16, 39554, 131, 151, 0, 0, 17, 283, 52231
1.52, 21500, 92, 92, 0, 0, 2, 140, 52232
2.23, 51235, 3097, 3192, 52, 0, 743, 6998, 52233
2.61, 63750, 260, 284, 3, 0, 104, 720, 52235
2.55, 62500, 270, 284, 0, 0, 51, 688, 52236
2.62, 48333, 540, 561, 0, 0, 216, 1417, 52237
2.36, 43965, 13419, 14415, 867, 0, 9013, 32113, 52240
2.33, 53273, 7588, 8422, 479, 0, 1968, 18566, 52241
na, na, 0, 0, 27, 0, 0, 1767, 52242
2.24, 54221, 8106, 8601, 91, 0, 3985, 22164, 52245
2.18, 41631, 9295, 9978, 131, 0, 4948, 21300, 52246
2.61, 50211, 2030, 2051, 13, 0, 575, 5390, 52247
2.54, 58583, 735, 760, 6, 0, 145, 1913, 52248
2.54, 67273, 368, 379, 0, 0, 87, 970, 52249
2.39, 55625, 219, 244, 0, 0, 79, 523, 52251
2.49, 59643, 1212, 1239, 4, 0, 222, 3016, 52253
2.27, 42991, 361, 410, 9, 0, 118, 819, 52254
2.09, 45625, 478, 532, 4, 0, 53, 999, 52255
2.09, 33333, 68, 72, 0, 0, 25, 142, 52257
2.3, 46424, 1577, 1755, 14, 0, 545, 3743, 52301
2.41, 60370, 14922, 15627, 258, 0, 2180, 36517, 52302
2.4, 58696, 234, 252, 0, 0, 47, 562, 52305
2.54, 61510, 755, 825, 4, 0, 165, 1964, 52306
2.88, 64018, 51, 114, 0, 0, 0, 147, 52307
2.18, 31389, 78, 78, 0, 0, 29, 170, 52308
2.28, 45938, 185, 214, 0, 0, 49, 421, 52309
2.2, 44459, 2766, 2923, 6, 0, 613, 6249, 52310
2.94, 38750, 51, 62, 0, 0, 4, 150, 52312
2.1, 51786, 184, 192, 0, 0, 18, 387, 52313
2.53, 73250, 1952, 2011, 8, 0, 369, 5869, 52314
2.38, 47452, 387, 428, 0, 0, 7, 921, 52315
2.34, 44526, 685, 729, 21, 0, 162, 1655, 52316
2.27, 64119, 6118, 6368, 32, 0, 692, 13882, 52317
2.54, 58493, 467, 467, 0, 0, 68, 1188, 52318
2.2, 48274, 491, 600, 0, 0, 82, 1078, 52320
2.77, 44716, 223, 230, 0, 0, 22, 618, 52321
2.73, 64605, 980, 1061, 3, 0, 169, 2681, 52322
2.62, 51350, 455, 515, 7, 0, 180, 1193, 52323
2.77, 85250, 610, 645, 3, 0, 25, 1689, 52324
2.81, 60714, 354, 397, 0, 0, 51, 996, 52325
2.32, 41053, 210, 229, 3, 0, 21, 487, 52326
2.71, 80208, 1333, 1428, 0, 0, 260, 3619, 52327
3.11, 106964, 841, 863, 22, 0, 95, 2619, 52328
2.78, 60313, 268, 268, 0, 0, 33, 744, 52329
2.67, 48304, 281, 338, 0, 0, 183, 750, 52330
2.32, 67550, 811, 880, 12, 0, 104, 1899, 52332
2.48, 74839, 2348, 2474, 24, 0, 167, 5883, 52333
2.84, 68438, 79, 86, 0, 0, 0, 224, 52334
2.1, 51625, 283, 301, 2, 0, 54, 594, 52335
2.55, 60769, 890, 914, 7, 0, 72, 2273, 52336
2.4, 50844, 399, 417, 4, 0, 66, 959, 52337
2.7, 101250, 1134, 1178, 5, 0, 79, 3067, 52338
2.65, 39136, 1699, 1852, 257, 0, 893, 4561, 52339
2.45, 58333, 940, 1038, 4, 0, 9, 2301, 52340
3.03, 79063, 412, 432, 0, 0, 64, 1248, 52341
2.14, 37861, 1265, 1347, 17, 0, 400, 2992, 52342
2.72, 68594, 543, 567, 17, 0, 98, 1478, 52345
2.28, 55962, 418, 473, 0, 0, 73, 957, 52346
2.2, 52279, 607, 631, 0, 0, 73, 1336, 52347
2.24, 46875, 25, 30, 0, 0, 6, 56, 52348
2.51, 48665, 3018, 3365, 73, 0, 804, 7746, 52349
3.36, 96667, 474, 492, 0, 0, 13, 1595, 52351
2.73, 67564, 702, 829, 2, 0, 188, 1929, 52352
2.31, 49189, 3747, 3946, 366, 0, 1091, 8885, 52353
3.39, 106172, 95, 118, 0, 0, 0, 322, 52354
2.25, 54643, 118, 123, 5, 0, 10, 266, 52355
2.54, 50833, 1142, 1257, 3, 0, 301, 2961, 52356
2.44, 66500, 1420, 1426, 13, 0, 102, 3545, 52358
2.17, 66364, 144, 151, 0, 0, 8, 313, 52359
2.37, 67865, 1846, 1923, 19, 0, 392, 4470, 52361
1.98, 36161, 385, 470, 0, 0, 46, 763, 52362
1.94, 24507, 904, 1072, 6, 0, 692, 2123, 52401
2.22, 54076, 16779, 17930, 294, 9, 3479, 38974, 52402
2.3, 55042, 9707, 10532, 127, 0, 2074, 22745, 52403
2.36, 44969, 16123, 17421, 279, 0, 6844, 38800, 52404
2.34, 54848, 10229, 11037, 123, 0, 2628, 24134, 52405
3.03, 114693, 2399, 2477, 0, 0, 102, 7275, 52411
2.31, 38982, 12492, 13597, 1405, 33, 5471, 29759, 52501
2.36, 50761, 420, 434, 0, 0, 31, 995, 52530
2.39, 44446, 2470, 2871, 4, 0, 646, 6072, 52531
2.57, 61047, 591, 608, 0, 0, 36, 1519, 52533
1.94, 19792, 68, 68, 0, 0, 29, 132, 52534
1.87, 41726, 387, 401, 0, 0, 93, 725, 52535
2.38, 52589, 351, 420, 0, 0, 84, 834, 52536
2.7, 48355, 2391, 2844, 14, 0, 476, 6650, 52537
2.42, 51375, 612, 668, 0, 0, 237, 1481, 52540
1.85, 27639, 135, 162, 0, 0, 36, 250, 52542
2.98, 73289, 200, 200, 14, 0, 69, 595, 52543
2.29, 34045, 3180, 3779, 16, 0, 1254, 7502, 52544
2.75, 35000, 32, 37, 0, 0, 30, 88, 52548
2.14, 33261, 268, 317, 0, 0, 107, 574, 52549
2.44, 27344, 238, 286, 2, 0, 89, 581, 52550
2.42, 48438, 260, 342, 21, 0, 67, 630, 52551
2.97, 55017, 365, 421, 0, 0, 331, 1083, 52552
2.38, 40366, 670, 738, 0, 0, 196, 1595, 52553
2.81, 41050, 583, 635, 0, 0, 341, 1639, 52554
2.47, 24911, 172, 182, 0, 0, 14, 424, 52555
2.2, 42792, 5114, 5791, 201, 0, 1696, 12341, 52556
na, na, 0, 0, 0, 0, 0, 86, 52557
2.55, 30625, 174, 193, 0, 0, 69, 444, 52560
2.63, 46094, 353, 368, 2, 1, 122, 927, 52561
2.35, 37337, 751, 795, 0, 0, 238, 1765, 52563
2.44, 41683, 796, 987, 0, 0, 334, 2082, 52565
1.67, 107083, 89, 94, 0, 0, 1, 149, 52566
2.31, 53306, 266, 275, 0, 0, 48, 614, 52567
1.89, 36111, 348, 439, 0, 0, 50, 659, 52569
2.85, 34545, 368, 492, 0, 0, 286, 1050, 52570
2.37, 43750, 627, 810, 2, 0, 209, 1489, 52571
2.59, 38021, 557, 632, 0, 0, 356, 1443, 52572
2.57, 52656, 56, 82, 0, 0, 0, 144, 52573
2.47, 31518, 369, 526, 0, 0, 176, 910, 52574
2.23, 38125, 209, 224, 0, 0, 19, 467, 52576
2.35, 42508, 6151, 6705, 147, 0, 2668, 14956, 52577
2.12, 39250, 223, 253, 0, 0, 16, 473, 52580
2.13, 43750, 200, 234, 0, 0, 30, 426, 52581
2.34, 25417, 183, 236, 0, 0, 103, 429, 52583
3.42, 56250, 177, 185, 1, 0, 82, 606, 52584
2.58, 49797, 389, 433, 0, 0, 56, 1002, 52585
2.12, 44034, 225, 248, 2, 0, 84, 477, 52586
2.75, 48438, 32, 41, 0, 0, 0, 88, 52588
2.6, 31842, 476, 571, 0, 0, 170, 1262, 52590
2.18, 39583, 1277, 1505, 0, 0, 268, 2903, 52591
2.92, 53125, 72, 75, 0, 0, 12, 210, 52593
2.25, 40893, 197, 222, 0, 0, 28, 444, 52594
2.79, 41500, 158, 168, 3, 0, 65, 481, 52595
2.31, 40980, 12561, 13888, 140, 0, 4788, 29642, 52601
2.69, 39375, 235, 235, 0, 0, 87, 631, 52619
2.27, 43073, 387, 444, 6, 0, 103, 880, 52620
2.29, 52250, 282, 313, 10, 0, 7, 647, 52621
2.57, 57500, 748, 777, 0, 0, 46, 1954, 52623
1.99, 56563, 69, 97, 0, 0, 22, 137, 52624
2.65, 52824, 1055, 1152, 5, 0, 168, 2916, 52625
2.46, 40417, 601, 708, 0, 0, 144, 1476, 52626
2.38, 40259, 5460, 6372, 169, 0, 1678, 13770, 52627
2.66, 37250, 218, 270, 0, 0, 127, 579, 52630
2.48, 36641, 4984, 5852, 45, 0, 2525, 12675, 52632
2.68, 45871, 367, 382, 0, 0, 129, 982, 52635
2.26, 47250, 1203, 1275, 0, 0, 179, 2781, 52637
2.36, 56683, 163, 174, 0, 0, 30, 410, 52638
2.58, 46076, 735, 916, 5, 0, 353, 2090, 52639
2.71, 53586, 615, 682, 33, 0, 255, 1706, 52640
2.46, 45219, 4595, 4980, 286, 0, 1831, 12129, 52641
3.41, 69125, 147, 179, 6, 0, 92, 501, 52644
2.37, 42188, 1170, 1263, 42, 0, 350, 2809, 52645
2.7, 50341, 141, 202, 0, 0, 60, 380, 52646
2.47, 54000, 98, 102, 0, 0, 4, 242, 52647
2.62, 39156, 395, 414, 0, 0, 136, 1034, 52649
2.33, 68507, 335, 335, 10, 0, 0, 782, 52650
2.82, 36146, 295, 307, 0, 0, 193, 833, 52651
2.58, 50029, 1384, 1727, 106, 0, 249, 3670, 52653
2.58, 38984, 675, 729, 0, 0, 456, 1780, 52654
