A9501805, Suburb: Large (21), Regular elementary or secondary, N/A, 19.4, 284, 9.7, 0, 7, 11, 8, 162, 0, 96, 38, 19, 16, 16, 18, 9, 8, 13, 6, 13, 9, 15, 8
A9300392, Rural: Fringe (41), Regular elementary or secondary, N/A, 1.0, 3, 3, 0, 0, 0, 0, 3, 0, N/A, N/A, 1, 2, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
A9300391, Rural: Distant (42), Regular elementary or secondary, N/A, 7.4, 83, 8.8, 0, 2, 5, 1, 57, 0, 18, 6, 11, 6, 7, 7, 7, 5, 7, 4, 1, 2, N/A, 2
A9300389, City: Small (13), Regular elementary or secondary, N/A, 5.0, 68, 7.2, 0, 4, 1, 2, 29, 0, 32, 10, 7, 6, 3, 5, 5, N/A, N/A, N/A, N/A, N/A, N/A, N/A
A9103339, City: Midsize (12), Regular elementary or secondary, N/A, 13.8, 236, 15.7, 4, 8, 3, 5, 197, 0, 19, 22, 29, 35, 25, 24, 25, 20, 9, 28, N/A, N/A, N/A, N/A
A9103338, Suburb: Small (23), Regular elementary or secondary, N/A, 3.1, 29, 9.4, 0, 2, 1, 3, 21, 2, N/A, 5, 6, 5, 4, 2, 2, 2, 2, 1, N/A, N/A, N/A, N/A
A9103337, Town: Distant (32), Regular elementary or secondary, N/A, 2.1, 24, 11.4, 0, 0, 2, 0, 22, 0, N/A, 1, 1, 2, 1, 3, 5, N/A, N/A, 2, 2, 4, N/A, 3
A9103335, Town: Remote (33), Regular elementary or secondary, N/A, 5.3, 24, 3.2, 0, 0, 0, 0, 17, 0, 7, 1, 3, N/A, 4, 3, N/A, 1, 2, 1, N/A, 1, 1, N/A
A9103334, Rural: Distant (42), Regular elementary or secondary, N/A, 2.9, 16, 5.5, 0, 0, 0, 0, 16, 0, N/A, N/A, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1
A9103331, Town: Remote (33), Regular elementary or secondary, N/A, 5.8, 34, 5.9, 0, 1, 1, 1, 31, 0, N/A, 6, 3, 5, 4, 3, 4, 2, 1, N/A, 3, N/A, 2, 1
A0971143, Suburb: Large (21), Early Childhood, N/A, 1.0, 1, 1, 0, 0, 0, 0, 1, 0, N/A, 1, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
A0901539, City: Midsize (12), Regular elementary or secondary, N/A, 20.0, 162, 5.8, N/A, N/A, N/A, N/A, N/A, N/A, 45, 15, 20, 13, 12, 15, 14, 13, 12, 3, N/A, N/A, N/A, N/A
A0901538, City: Small (13), Regular elementary or secondary, N/A, 1.0, 5, 5, 0, 0, 0, 0, 3, 2, N/A, 1, 2, N/A, 2, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
A0901537, Rural: Fringe (41), Regular elementary or secondary, N/A, 9.0, 133, 14.8, 0, 0, 0, 0, 129, 4, N/A, N/A, N/A, N/A, 36, 47, 50, N/A, N/A, N/A, N/A, N/A, N/A, N/A
A0901535, Town: Remote (33), Regular elementary or secondary, N/A, 4.0, 36, 7, N/A, N/A, N/A, N/A, N/A, N/A, 8, 7, 2, 3, 4, 2, 6, 4, N/A, N/A, N/A, N/A, N/A, N/A
A0901534, City: Small (13), Regular elementary or secondary, N/A, 3.0, 21, 7, 0, 2, 0, 1, 17, 1, N/A, N/A, N/A, N/A, N/A, 4, 3, 3, 1, 3, 2, 3, 2, N/A
A0901531, City: Midsize (12), N/A, N/A, 7.8, 38, 4.9, 0, 0, 0, 2, 36, 0, N/A, N/A, N/A, N/A, N/A, 3, 2, 3, 2, 7, 6, 6, 2, 7
A0901529, Town: Remote (33), Regular elementary or secondary, N/A, 2.9, 12, 4.1, 0, 0, 0, 0, 12, 0, N/A, N/A, N/A, N/A, 1, 1, N/A, 2, N/A, 1, 1, 4, 1, 1
A0901528, City: Small (13), Regular elementary or secondary, N/A, 5.8, 25, 4.3, 0, 0, 0, 0, 25, 0, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 4, 4, 3, N/A, 7, 5, 2
