school,latitude,longitude
CENTRALDECATURMS/SRHIGHSCHOOL,40.7482721,-93.7430786
NORTHELEMENTARYSCHOOL,40.7482921,-93.7430785
SOUTHELEMENTARYSCHOOL,40.7482921,-93.7430785
MCCALLSBURGELEMENTARYSCHOOL,40.2800895,-79.3658066
MADRIDELEMENTARYSCHOOL,37.6460327,-98.7410338
MADRIDHIGHSCHOOL,30.2414076,-92.825626
MADRIDJUNIORHIGHSCHOOL,30.2414076,-92.825626
ANSONELEMENTARYSCHOOL,34.7557224,-84.769334
LENIHANINTERMEDIATESCHOOL,42.0321145,-92.9157435
MARSHALLTOWNHIGHSCHOOL,34.4253753,-86.9291589
ROGERSELEMENTARYSCHOOL,42.0462474,-88.2723287
WOODBURYELEMENTARYSCHOOL,33.4482969,-112.0825431
CENTRALIOWACHRISTIANACADEMY,38.0885212,-102.6072969
MARSHALLTOWNAREACATHOLICSCHOOL,42.0466794,-92.9130913
MARTENSDALEELEMENTARYSCHOOL,37.847367,-93.9214899
MARTENSDALE-STMARYSJR-SRHIGHSCHOOL,37.847367,-93.9214899
COLLINS-MAXWELLMIDDLE/HIGHSCHOOL,37.847367,-93.9214899
MITCHELLVILLEELEMENTARYSCHOOL,46.4474859,-95.1374269
MONTEZUMAELEMENTARYSCHOOL,18.0631584,-93.1647219
MONTEZUMAHIGHSCHOOL,18.0631584,-93.1647219
MONTEZUMAJUNIORHIGHSCHOOL,18.0631584,-93.1647219
CENTRALELEMENTARYSCHOOL,44.5793657,-91.2202333
NEVADAHIGHSCHOOL,33.4723537,-81.9903869
BASICSANDBEYONDALTERNATIVESCHOOL,33.4723537,-81.9903869
BERGELEMENTARYSCHOOL,45.6909043,-94.8072373
BERGMIDDLESCHOOL,45.6909043,-94.8072373
EMERSONHOUGHELEMENTARYSCHOOL,45.6909043,-94.8072373
NEWTONSENIORHIGHSCHOOL,42.7344928,-93.2024869
THOMASJEFFERSONELEMENTARYSCHOOL,44.2041504,-105.3621001
WOODROWWILSONELEMENTARYSCHOOL,44.2041504,-105.3621001
NEWTONCHRISTIANSCHOOL,44.2041504,-105.3621001
LAKEWOODELEMENTARYSCHOOL,44.2041504,-105.3621001
NORWALKMIDDLESCHOOL,39.6342979,-76.390678
CLARKECOMMUNITYELEMENTARYSCHOOL,36.3896311,-77.4121761
CLARKECOMMUNITYHIGHSCHOOL,39.6153861,-90.8028805
CLARKEMIDDLESCHOOLSCHOOL,39.6153861,-90.8028805
PELLACHRISTIANGRADESCHOOL,41.4848131,-80.4375423
PELLACHRISTIANHIGHSCHOOL,37.0380282,-79.9061366
PEORIACHRISTIANSCHOOL,40.6465311,-89.6574492
PERRYELEMENTARY,37.7753764,-122.2725947
PERRYHIGHSCHOOL,43.4226288,-95.1073072
PERRYMIDDLESCHOOL,43.4226288,-95.1073072
STPATRICKSSCHOOL,44.7852243,-122.6177392
PLEASANTVILLEELEMENTARY,31.7324562,-89.983801
PLEASANTVILLEHIGHSCHOOL,31.7324562,-89.983801
PLEASANTVILLEMIDDLESCHOOL,31.7324562,-89.983801
WESTCENTRALVALLEYMIDDLESCHOOL,-16.0689348,136.3064149
ROLAND-STORYMIDDLESCHOOL,32.9326288,-97.2537555
RUNNELLSELEMENTARYSCHOOL,32.9326288,-97.2537555
WESTMARSHALLELEMENTARYSCHOOL,28.0208227,-81.7305388
WESTMARSHALLHIGHSCHOOL,18.0631584,-93.1647219
WESTMARSHALLMIDDLESCHOOL,35.2419688,-92.9384767
ROLAND-STORYELEMENTARYSCHOOL,34.1595506,-99.3132912
SULLYCHRISTIANSCHOOL,34.1595506,-99.3132912
WAUKEEELEMENTARYSCHOOL,36.7993992,-98.6668422
WAUKEEMIDDLESCHOOL,41.6437504,-93.8722057
WAUKEESENIORHIGHSCHOOL,35.4747542,-93.4681801
WAUKEESOUTHMS,35.4747542,-93.4681801
FAIRMEADOWSELEMENTARYSCHOOL,34.9751716,-101.9193601
HILLSIDEELEMENTARYSCHOOL,40.9258423,-100.1604316
JORDANCREEKELEMENTARYSCHOOL,32.7014016,-93.4302485
PHENIXELEMENTARYEARLYCHILDHOODCENTER,35.5930683,-105.2155398
STILWELLJUNIORHIGHSCHOOL,35.5930683,-105.2155398
VALLEYSOUTHWOODS,43.0246964,-87.9576484
DOWLINGCATHOLICHIGHSCHOOL,42.1281258,-80.0453272
IOWACHRISTIANACADEMY,38.8814489,-99.3178089
SACREDHEARTSCHOOL,38.8814489,-99.3178089
SHEPHERD'SFLOCKEARLYLEARNINGCENTER,38.8814489,-99.3178089
BROOKVIEWELEMENTARY,38.8814489,-99.3178089
CROSSROADSPARKELEMENTARYSCHOOL,43.558577,-94.6641769
MAPLEGROVEELEMENTARY,33.5052933,-101.8510041
VALLEYHIGHSCHOOL,41.4904205,-81.6634959
WESTRIDGEELEMENTARY,41.4904205,-81.6634959
EARLYEDUCATIONCENTER,36.9920672,-76.3961272
WINTERSETBRIDGESSCHOOL,41.3263862,-94.0230798
WINTERSETELEMENTARYSCHOOL,41.3263862,-94.0230798
WINTERSETJUNIORHIGHSCHOOL,41.3263862,-94.0230798
WINTERSETMIDDLESCHOOL,33.8976232,-118.2361904
WINTERSETSENIORHIGHSCHOOL,41.3263862,-94.0230798
WOODWARDACADEMY,40.8266116,-96.2365471
WOODWARD-GRANGERGRANDWOOD,40.8266116,-96.2365471
WOODWARD-GRANGERHIGHSCHOOL,35.4117148,-99.4075857
WOODWARD-GRANGERMIDDLESCHOOL,35.4117148,-99.4075857
COLO-NESCOMIDDLESCHOOL,21.1461271,-101.6569543
GATEWAYSECONDARYSCHOOL,21.1461271,-101.6569543
WALNUTSTREETSCHOOL,21.1461271,-101.6569543
HILLISELEMENTARYSCHOOL,42.4045906,-86.0919237
HOOVERHIGHSCHOOL,42.4045906,-86.0919237
MEREDITHMIDDLESCHOOL,38.6610248,-121.3524537
MONROEELEMENTARYSCHOOL,42.5855584,-85.8399956
SCAVOALTERNATIVEHIGHSCHOOL,42.5883078,-87.8542451
HOLYTRINITY,42.5883078,-87.8542451
MTOLIVELUTHERANSCHOOL,42.5883078,-87.8542451
COWLESELEMENTARYSCHOOL,42.5883078,-87.8542451
PERKINSELEMENTARYSCHOOL,32.6988047,-100.9191748
SAMUELSONELEMENTARYSCHOOL,41.6400102,-93.6711286
WINDSORELEMENTARY,41.6004071,-93.6989604
STTHERESASCHOOL,41.6021157,-93.697867
CALLANANMIDDLESCHOOL,41.6021157,-93.697867
GREENWOODELEMENTARYSCHOOL,33.5608566,-101.8382166
HANAWALTELEMENTARY,33.5608566,-101.8382166
HUBBELLELEMENTARY,47.7881327,-97.730927
MERRILLMIDDLESCHOOL,38.1307489,-108.2857974
ROOSEVELTHIGHSCHOOL,44.5079815,-95.421822
STAUGUSTINCATHOLICSCHOOL,38.1307637,-108.2858877
THEACADEMY,41.5428868,-87.5238149
CORNELLELEMENTARYSCHOOL,44.3043386,-120.8023686
FINDLEYELEMENTARYSCHOOL,44.3043386,-120.8023686
HARDINGMIDDLESCHOOL,44.3043386,-120.8023686
NORTHHIGHSCHOOL,41.6166429,-93.6235613
OAKPARK,41.6166429,-93.6235613
SAYDELHIGHSCHOOL,41.6166429,-93.6235613
WOODSIDEMIDDLESCHOOL,41.6166429,-93.6235613
CASADYPRESCHOOL,38.4006501,-82.4245896
HOWEELEMENTARY,40.0228834,-83.0016942
LINCOLNHIGHSCHOOL,40.0228834,-83.0016942
LOVEJOYELEMENTARYSCHOOL,40.0228834,-83.0016942
MANNPRESCHOOL,40.0228834,-83.0016942
MCKINLEYELEMENTARYSCHOOL,40.0228834,-83.0016942
MORRISELEMENTARYSCHOOL,40.0228834,-83.0016942
ORCHARDPLACESCHOOL,35.9513059,-95.3947771
PARKAVEELEMENTARYSCHOOL,35.9513059,-95.3947771
SOUTHUNIONELEMENTARYSCHOOL,44.7854991,-91.5951274
STUDEBAKERELEMENTARYSCHOOL,27.6462009,-81.8204586
WRIGHTELEMENTARYSCHOOL,27.6462009,-81.8204586
CHRISTTHEKINGSCHOOL,40.4062608,-79.779914
STANTHONYELEMENTARYSCHOOL,39.6857996,-83.9232994
CAPITOLVIEWELEMENTARYSCHOOL,40.6162234,-80.5566157
CARVERELEMENTARY,40.6162234,-80.5566157
CATTELLELEMENTARYSCHOOL,40.6162234,-80.5566157
EASTHIGHSCHOOL,28.2458788,-81.260889
HIATTMIDDLESCHOOL,30.1750194,-85.6432367
MADISONELEMENTARYSCHOOL,41.9547324,-85.6200242
HOLYFAMILYSCHOOL,36.8575394,-87.47877
DELAWAREELEMENTARYSCHOOL,39.8402519,-86.0938395
GARTONELEMENTARY,39.8402519,-86.0938395
GOODRELLMIDDLESCHOOL,32.2012713,-110.9222987
HOYTMIDDLESCHOOL,44.9269138,-93.233386
MCKEEELEMENTARYSCHOOL,40.7138066,-99.0539926
NORWOODVILLEELEMENTARY,40.7138066,-99.0539926
PHILLIPSELEMENTARY,40.7138066,-99.0539926
PLEASANTHILLELEMENTARYSCHOOL,40.7138066,-99.0539926
STOWEELEMENTARYSCHOOL,35.6236845,-97.4614627
WILLARDELEMENTARYSCHOOL,35.6236845,-97.4614627
STJOSEPHELEMENTARYSCHOOL,35.6237006,-97.4524816
JACKSONELEMENTARYSCHOOL,35.6237006,-97.4524816
MCCOMBSMIDDLESCHOOL,43.466217,-85.0896207
RIVERWOODSELEMENTARYSCHOOL,35.4425203,-97.4614047
BRODYMIDDLESCHOOL,30.1563358,-81.7005666
JEFFERSONELEMENTARYSCHOOL,30.1563358,-81.7005666
DESMOINESADVENTISTSCHOOL,41.5482418,-93.6492251
JENSENELEMENTARYSCHOOL,41.5482418,-93.6492251
KARENACRESELEMENTARYSCHOOL,42.5672497,-87.8507521
OLMSTEDELEMENTARYSCHOOL,42.5672497,-87.8507521
NEWHORIZONACADEMY,42.5672497,-87.8507521
STPIUSXSCHOOL,42.6994467,-86.1945169
WALNUTHILLSELEMENTARY,41.6375636,-93.8336074
WEBSTERELEMENTARYSCHOOL,41.6375636,-93.8336074
DESMOINESCHRISTIANSCHOOLS,41.6375636,-93.8336074
CLIVEELEMENTARY,42.5677739,-87.8288868
CRESTVIEWELEMENTARYSCHOOL,42.5677739,-87.8288868
INDIANHILLSJUNIORHIGHSCHOOL,42.5677739,-87.8288868
SHULERELEMENTARY,41.6292647,-93.8443757
FOURMILEELEMENTARYSCHOOL,43.9934112,-93.2199402
SOUTHEASTPOLKJUNIORHIGHSCHOOL,43.9934112,-93.2199402
SPRINGCREEK-6THGRADE,41.6003814,-93.435193
ALTERNATIVESCHOOL,39.3608027,-74.4319999
HARDINGELEMENTARYSCHOOL,43.1632858,-93.1841253
HOOVERELEMENTARYSCHOOL,46.1511895,-102.7880877
JEFFERSONELEMENTARYSCHOOL,47.3982142,-120.1537314
JOHNADAMSMIDDLESCHOOL,37.5990151,-89.2325819
LINCOLNINTERMEDIATE,35.4493862,-97.5480065
MASONCITYHIGHSCHOOL,43.1480959,-93.1700053
ROOSEVELTELEMENTARYSCHOOL,41.1879631,-87.1967988
BELMOND-KLEMMEALTERNATIVESCHOOL,41.1492003,-102.9770156
BELMOND-KLEMMECOMMUNITYJR-SRHIGHSCHOOL,41.1492003,-102.9770156
BELMOND-KLEMMEELEMENTARY,40.1093704,-96.148426
NORTHIOWAELEMBUFFALOCENTER,47.4902818,-92.8837676
NORTHIOWAHIGHSCHOOL,47.4902818,-92.8837676
NORTHIOWAMIDDLESCHOOL,47.4902818,-92.8837676
CLEARCREEKELEMENTARYSCHOOL,47.4902818,-92.8837676
CLEARLAKEHIGHSCHOOL,41.5342405,-90.4245697
WODEN-CRYSTALLAKE-TITONKAHIGHSCHOOL,41.5342405,-90.4245697
FORESTCITYALTERNATIVESCHOOL,38.0596687,-122.1708913
FORESTCITYELEMENTARYSCHOOL,37.0555327,-120.8659425
FORESTCITYHIGHSCHOOL,37.923372,-90.5591523
FORESTCITYMIDDLESCHOOL,37.9233826,-90.5593047
FORESTCITYCHRISTIANSCHOOL,39.5901838,-82.9458438
LAKEMILLSELEMENTARYSCHOOL,43.3849506,-94.3057309
LAKEMILLSMIDDLESCHOOL,43.3849506,-94.3057309
LAKEMILLSSENIORHIGHSCHOOL,43.3849506,-94.3057309
SACREDHEARTELEMENTARYSCHOOL,36.6068782,-88.3152219
RICEVILLEELEMENTARYSCHOOL,36.6068782,-88.3152219
RICEVILLEHIGHSCHOOL,36.6068782,-88.3152219
VENTURAELEMENTARYSCHOOL,40.4921395,-3.6633814
VENTURAJR-SRHIGHSCHOOL,40.4921395,-3.6633814
BUTLERELEMENTARYSCHOOL,40.4076727,-86.8768108
COOPERELEMENTARYSCHOOL,27.7855897,-82.6656158
DUNCOMBEELEMENTARYSCHOOL,30.095766,-93.7470591
FAIROAKSMIDDLESCHOOL,30.095766,-93.7470591
FEELHAVERELEMENTARYSCHOOL,30.095766,-93.7470591
FORTDODGEHIGHSCHOOL,40.27543,-94.0267925
HILLCRESTELEMENTARYSCHOOL,44.5173182,-98.9326286
PHILLIPSMIDDLESCHOOL,29.3892984,-94.9090161
RIVERSIDEELEMENTARYSCHOOL,40.5243816,-97.6056869
COMMUNITYCHRISTIANSCHOOL,26.6285062,-80.0891935
HARVESTBAPTISTSCHOOL,46.4479315,-90.1817179
STEDMONDCATHOLICMIDDLE/HIGHSCHOOL,46.4479315,-90.1817179
STEDMONDELEMENTARY,45.7892357,-108.5040834
STPAULLUTHERANSCHOOL,42.0123851,-95.3565768
ALBERTCITY-TRUESDALEELEMENTARYSCHOOL,18.0629104,-93.1662617
ALGONAHIGHSCHOOL,33.1146014,-117.1046589
BERTHAGODFREYELEMENTARYSCHOOL,32.7934761,-93.0414735
BRYANTELEMENTARYSCHOOL,36.2853587,-95.8394784
LUCIAWALLACEELEMENTARYSCHOOL,27.9489324,-82.4543214
OTTOBLAINGMIDDLESCHOOL,39.7128197,-105.0626959
BISHOPGARRIGANHIGHSCHOOL,39.1043632,-94.4218608
SETONGRADESCHOOL,43.0718934,-94.2279508
CLARION-GOLDFIELDMS,41.0754456,-98.710593
CLYDEDMEASEELEMENTARYSCHOOL,41.0754456,-98.710593
DAYTONCENTER,18.0629104,-93.1662617
EAGLEGROVEELEMENTARY,31.163001,-93.1580288
EAGLEGROVEHIGHSCHOOL,32.1327647,-96.2318992
ROBERTBLUESCHOOL,32.1321123,-96.2364335
EMMETSBURGHIGHSCHOOL,43.3154266,-71.620774
EMMETSBURGMIDDLESCHOOL,43.3154266,-71.620774
WESTELEMENTARYSCHOOL,43.2573871,-73.7940692
SENTRALELEMENTARYELEMENTARYSCHOOL,43.2573871,-73.7940692
GILMORECITYELEMENTARYSCHOOL,42.0269158,-94.551663
TWINRIVERVALLEYMIDDLESCHOOL,42.0269158,-94.551663
HUMBOLDTHIGHSCHOOL,36.8457586,-82.7594949
HUMBOLDTMIDDLESCHOOL,46.8783498,-96.791
TAFTELEMENTARYSCHOOL,43.8624926,-95.1149818
STMARY'SELEMENTARYSCHOOL,47.8137552,-122.3776699
LAURENS-MARATHONELEMENTARYSCHOOL,37.778334,-111.6059629
LAURENS-MARATHONHIGHSCHOOL,37.778334,-111.6059629
MANSONNORTHWESTWEBSTERJUNIORHIGH/HIGHSCHOOL,33.460288,-81.9965834
NEWELL-FONDALOWERELEMENTARY,33.946931,-103.6505137
POCAHONTASAREAELEMENTARYSCHOOL,46.1801321,-103.3965015
POCAHONTASAREAHIGHSCHOOL,46.1801321,-103.3965015
POCAHONTASAREAREGIONALLEARNINGCENTER,46.1801321,-103.3965015
POCAHONTASCATHOLICSCHOOL,30.565583,-100.6456836
POMEROYELEMENTARYSCHOOL,42.545693,-94.681393
EASTSACCOUNTYELEMENTARYSACBUILDING,37.3377502,-95.2591965
EASTSACCOUNTYMIDDLESCHOOL,35.0373454,-82.0720351
SIOUXCENTRALELEMENTARYSCHOOL,30.1860796,-97.6111337
SIOUXCENTRALHIGH,30.1860796,-97.6111337
SIOUXCENTRALMIDDLESCHOOL,30.1860796,-97.6111337
EASTEARLYCHILDHOODCTR,45.768577,-87.2749709
STLAKE/IACNTRL/BUENAVISTAEARLYCOLLEGEHS,42.6478914,-95.1951349
STORMLAKEHIGHSCHOOL,42.6478914,-95.1951349
STORMLAKEMIDDLESCHOOL,42.6477708,-95.2278446
HAMILTONREGIONALHSHIGHSCHOOL,32.7511819,-97.2894132
PLEASANTVIEWELEMENTARYSCHOOL,42.4577191,-93.8193131
SUNSETHEIGHTSELEMENTARYSCHOOL,41.8639161,-93.6980194
WEBSTERCITYHIGHSCHOOL,41.8639161,-93.6980194
WEBSTERCITYMIDDLESCHOOL,41.5933755,-93.603693
STTHOMASAQUINASSCHOOL,42.4660122,-93.8197995
APLINGTONELEMENTARYSCHOOL,44.5793721,-91.2211781
STARMONTELEMENTARYSCHOOL,42.6875822,-91.6493434
STARMONTHIGHSCHOOL,42.6875822,-91.6493434
STARMONTMIDDLESCHOOLCOMMSCHOOLDISTRICT,42.6875822,-91.6493434
CEDARFALLSALTERNATIVE,42.6875822,-91.6493434
CEDARFALLSHIGHSCHOOL,44.7085706,-85.6516419
CEDARHEIGHTSELEMENTARYSCHOOL,33.9694856,-86.0214636
HELENAHANSENELEMENTARYSCHOOL,31.156156,-83.7752432
HOLMESJUNIORHIGHSCHOOL,31.1561918,-83.7786349
LINCOLNELEMENTARYSCHOOL,31.1561918,-83.7786349
NORTHCEDARELEMENTARYSCHOOL,34.0294461,-117.6545516
ORCHARDHILLELEMENTARYSCHOOL,34.0294461,-117.6545516
PEETJUNIORHIGHSCHOOL,34.0294461,-117.6545516
SOUTHDALEELEMENTARYSCHOOL,40.8825378,-111.8723572
STPATRICKSCHOOL,42.4933528,-92.3415642
VALLEYLUTHERANHIGHSCHOOL,42.4933528,-92.3415642
CARRIELANEHIGHSCHOOL,39.6114099,-90.8030439
CHARLESCITYHIGHSCHOOL,39.6114099,-90.8030439
CHARLESCITYMIDDLESCH.,31.3407876,-110.936899
LINCOLNELEMENTARYSCHOOL,40.2245557,-105.2715601
LITTLEHUSKYLEARNINGCENTER,41.9737847,-91.6609944
DIKEELEMENTARYSCHOOL,40.8088857,-90.3763898
DIKE-NEWHARTFORDHIGHSCHOOL,40.8088857,-90.3763898
DUNKERTONELEMENTARY,33.4242002,-111.6027609
DUNKERTONHIGHSCHOOL,33.4242002,-111.6027609
ELDORA-NEWPROVIDENCEELEMENTARYSCHOOL,44.5793656,-91.2202307
