NCES ID,Total Revenue,Revenue Per Student,Federal Total - Rev,Federal PS Rev,Local Total Rev,Local PS Rev,State Total Rev,State PS Rev,Total Exp,Exp PS,Total Current Exp,Current Exp PS,Exp - Instruction,Exp - Instructional PS,"Total Exp Student, Staf","PS Exp, Student, Staff",Total Exp Admin,PS Exp Admin,Total Exp Ops,PS Exp Ops,Total Capital Outlay,PS Cap Outlay,Total Construction Outlay,PS Construction Outlay,Total Non El-Sec Ed,PS Non El-Sec Ed,Total Interest on Debt,PS Interest on Debt
1919770,"$2,471,000 ","$11,081 ","$311,000 ","$1,395 ","$1,184,000 ","$5,309 ","$976,000 ","$4,377 ","$2,701,000 ","$12,112 ","$2,246,000 ","$10,072 ","$1,655,000 ","$7,422 ","$113,000 ",$507 ,"$227,000 ","$1,018 ","$251,000 ","$1,126 ","$222,000 ",$996 ,"$179,000 ",$803 ,$0 ,$0 ,$0 ,$0 
1908190,"$2,490,000 ","$17,660 ","$165,000 ","$1,170 ","$1,845,000 ","$13,085 ","$480,000 ","$3,404 ","$2,153,000 ","$15,270 ","$1,875,000 ","$13,298 ","$1,250,000 ","$8,865 ","$59,000 ",$418 ,"$236,000 ","$1,674 ","$330,000 ","$2,340 ","$162,000 ","$1,149 ","$54,000 ",$383 ,"$3,000 ",$21 ,"$1,000 ",$7 
1925560,"$2,575,000 ","$15,798 ","$240,000 ","$1,472 ","$1,841,000 ","$11,294 ","$494,000 ","$3,031 ","$2,546,000 ","$15,620 ","$1,830,000 ","$11,227 ","$1,040,000 ","$6,380 ","$69,000 ",$423 ,"$274,000 ","$1,681 ","$447,000 ","$2,742 ","$251,000 ","$1,540 ",$0 ,$0 ,$0 ,$0 ,"$19,000 ",$117 
1931620,"$2,629,000 ","$12,639 ","$287,000 ","$1,380 ","$1,554,000 ","$7,471 ","$788,000 ","$3,788 ","$2,707,000 ","$13,014 ","$2,319,000 ","$11,149 ","$1,436,000 ","$6,904 ","$156,000 ",$750 ,"$315,000 ","$1,514 ","$412,000 ","$1,981 ","$230,000 ","$1,106 ","$134,000 ",$644 ,$0 ,$0 ,"$30,000 ",$144 
1919800,"$2,649,000 ","$11,468 ","$311,000 ","$1,346 ","$1,232,000 ","$5,333 ","$1,106,000 ","$4,788 ","$2,744,000 ","$11,879 ","$2,346,000 ","$10,156 ","$1,473,000 ","$6,377 ","$153,000 ",$662 ,"$268,000 ","$1,160 ","$452,000 ","$1,957 ","$261,000 ","$1,130 ","$189,000 ",$818 ,$0 ,$0 ,$0 ,$0 
1927240,"$2,683,000 ","$12,537 ","$224,000 ","$1,047 ","$1,490,000 ","$6,963 ","$969,000 ","$4,528 ","$2,667,000 ","$12,463 ","$2,394,000 ","$11,187 ","$1,562,000 ","$7,299 ","$87,000 ",$407 ,"$364,000 ","$1,701 ","$381,000 ","$1,780 ","$175,000 ",$818 ,"$123,000 ",$575 ,$0 ,$0 ,$0 ,$0 
1911040,"$2,712,000 ","$11,069 ","$270,000 ","$1,102 ","$1,408,000 ","$5,747 ","$1,034,000 ","$4,220 ","$2,887,000 ","$11,784 ","$2,274,000 ","$9,282 ","$1,413,000 ","$5,767 ","$103,000 ",$420 ,"$369,000 ","$1,506 ","$389,000 ","$1,588 ","$387,000 ","$1,580 ","$321,000 ","$1,310 ",$0 ,$0 ,$0 ,$0 
1929640,"$2,719,000 ","$12,031 ","$255,000 ","$1,128 ","$1,629,000 ","$7,208 ","$835,000 ","$3,695 ","$2,427,000 ","$10,739 ","$2,016,000 ","$8,920 ","$1,137,000 ","$5,031 ","$155,000 ",$686 ,"$338,000 ","$1,496 ","$386,000 ","$1,708 ","$77,000 ",$341 ,"$37,000 ",$164 ,"$56,000 ",$248 ,"$28,000 ",$124 
1908880,"$2,727,000 ","$9,845 ","$254,000 ",$917 ,"$1,273,000 ","$4,596 ","$1,200,000 ","$4,332 ","$2,528,000 ","$9,126 ","$2,062,000 ","$7,444 ","$1,446,000 ","$5,220 ","$54,000 ",$195 ,"$222,000 ",$801 ,"$340,000 ","$1,227 ","$114,000 ",$412 ,"$23,000 ",$83 ,"$34,000 ",$123 ,$0 ,$0 
1905940,"$2,735,000 ","$13,473 ","$323,000 ","$1,591 ","$1,663,000 ","$8,192 ","$749,000 ","$3,690 ","$2,570,000 ","$12,660 ","$2,179,000 ","$10,734 ","$1,478,000 ","$7,281 ","$77,000 ",$379 ,"$232,000 ","$1,143 ","$392,000 ","$1,931 ","$191,000 ",$941 ,"$66,000 ",$325 ,$0 ,$0 ,"$2,000 ",$10 
1926670,"$2,747,000 ","$11,542 ","$409,000 ","$1,718 ","$1,313,000 ","$5,517 ","$1,025,000 ","$4,307 ","$3,074,000 ","$12,916 ","$2,217,000 ","$9,315 ","$1,339,000 ","$5,626 ","$96,000 ",$403 ,"$316,000 ","$1,328 ","$466,000 ","$1,958 ","$380,000 ","$1,597 ","$43,000 ",$181 ,$0 ,$0 ,"$1,000 ",$4 
1921720,"$2,881,000 ","$11,856 ","$312,000 ","$1,284 ","$1,562,000 ","$6,428 ","$1,007,000 ","$4,144 ","$3,039,000 ","$12,506 ","$2,458,000 ","$10,115 ","$1,611,000 ","$6,630 ","$113,000 ",$465 ,"$285,000 ","$1,173 ","$449,000 ","$1,848 ","$102,000 ",$420 ,"$80,000 ",$329 ,"$4,000 ",$16 ,"$6,000 ",$25 
1925620,"$2,906,000 ","$12,008 ","$405,000 ","$1,674 ","$1,640,000 ","$6,777 ","$861,000 ","$3,558 ","$2,880,000 ","$11,901 ","$2,558,000 ","$10,570 ","$1,621,000 ","$6,698 ","$133,000 ",$550 ,"$340,000 ","$1,405 ","$464,000 ","$1,917 ","$183,000 ",$756 ,$0 ,$0 ,$0 ,$0 ,"$8,000 ",$33 
1910710,"$2,999,000 ","$11,624 ","$273,000 ","$1,058 ","$1,605,000 ","$6,221 ","$1,121,000 ","$4,345 ","$2,786,000 ","$10,798 ","$2,433,000 ","$9,430 ","$1,554,000 ","$6,023 ","$103,000 ",$399 ,"$290,000 ","$1,124 ","$486,000 ","$1,884 ","$179,000 ",$694 ,"$95,000 ",$368 ,$0 ,$0 ,"$75,000 ",$291 
1928200,"$3,036,000 ","$16,063 ","$269,000 ","$1,423 ","$2,146,000 ","$11,354 ","$621,000 ","$3,286 ","$2,503,000 ","$13,243 ","$1,880,000 ","$9,947 ","$1,235,000 ","$6,534 ","$41,000 ",$217 ,"$321,000 ","$1,698 ","$283,000 ","$1,497 ","$313,000 ","$1,656 ","$119,000 ",$630 ,"$73,000 ",$386 ,$0 ,$0 
