,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18-24,,,,,,,25-34,,,,,,,35-44,,,,,,,45-64,,,,,,,65+,,,,,,,18-24,,,,,,,25-34,,,,,,,35-44,,,,,,,45-64,,,,,,,65+,,,,,,,
,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,
50027,0,0,4,0,0,0,0,0,0,17,10,5,7,0,0,0,3,19,0,0,0,0,4,29,4,7,1,0,0,2,6,4,0,0,0,0,0,1,3,0,0,0,0,0,19,20,7,0,0,0,0,0,2,0,0,0,2,3,16,19,10,0,0,3,2,7,14,0,0,0,F
50028,0,4,8,9,17,3,0,0,17,46,12,10,9,3,3,1,3,48,15,31,4,6,13,172,35,24,30,0,2,7,50,19,0,3,2,0,2,3,15,0,3,0,7,0,32,39,12,17,0,3,0,19,17,29,12,12,6,4,111,75,46,23,7,2,16,93,20,0,10,6,F
50029,0,0,4,10,0,0,0,0,0,4,12,15,0,0,0,0,10,9,0,0,0,1,8,50,42,17,11,14,19,13,33,12,0,0,0,4,0,6,9,10,0,0,0,0,0,7,0,3,0,0,0,19,3,0,4,0,0,4,43,53,24,14,3,5,20,24,6,2,2,0,F
50032,0,0,15,13,0,0,0,0,0,0,17,0,0,0,0,0,65,0,0,0,0,0,0,47,31,0,0,0,0,16,0,0,0,0,48,0,0,31,0,0,0,0,0,0,0,51,0,0,0,0,0,15,0,0,0,0,0,0,0,16,0,11,0,0,0,0,0,0,0,0,F
50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,F
50034,0,0,0,5,0,0,0,0,0,3,5,8,4,0,0,0,2,0,13,0,0,2,0,38,16,18,7,0,0,3,19,7,0,17,2,0,0,0,2,6,0,0,0,0,5,2,4,0,4,0,0,2,0,5,10,3,0,4,25,13,25,14,5,0,2,18,7,3,0,0,F
50035,0,82,62,46,8,22,0,5,0,63,63,54,143,9,0,0,53,72,174,110,9,0,23,133,233,93,79,38,10,11,47,45,7,0,25,0,0,36,20,0,5,0,0,4,43,113,51,164,23,0,0,89,60,47,197,60,0,13,126,122,167,147,39,0,15,109,27,21,24,10,F
50036,1,145,284,150,35,65,0,18,54,222,329,196,126,76,0,46,315,339,125,178,9,41,24,823,598,144,398,154,64,56,441,265,25,151,70,0,111,153,270,13,64,0,0,163,215,204,242,205,21,0,20,125,276,113,284,33,19,126,795,671,342,291,142,77,91,700,304,166,157,19,F
50038,0,0,4,0,0,0,0,0,0,0,24,0,0,0,0,0,0,16,0,0,0,0,0,4,15,7,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,6,7,0,0,0,0,5,4,11,14,0,0,16,6,0,0,0,0,F
50039,0,2,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,7,13,11,11,0,4,79,36,0,2,0,0,0,13,1,0,0,0,0,0,14,2,2,0,0,0,0,3,0,0,12,10,0,0,29,12,0,0,0,0,2,39,6,22,0,0,0,0,18,0,0,0,0,F
50041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,F
50042,0,0,8,0,0,0,0,0,6,17,0,1,0,0,0,0,0,2,12,0,2,0,5,28,0,4,8,0,10,5,16,4,3,0,0,0,11,9,0,0,11,0,0,0,12,5,0,0,0,0,0,4,3,9,3,0,0,0,17,24,0,8,0,2,5,22,2,0,0,0,F
50044,0,29,16,9,0,0,0,0,13,20,13,12,3,0,0,3,19,3,0,0,0,10,7,125,33,10,6,0,7,6,33,11,26,0,0,0,3,7,13,2,0,0,0,0,13,19,0,0,0,0,0,42,15,5,0,25,0,15,111,18,2,2,0,8,16,46,1,22,6,2,F
50046,0,4,15,12,0,0,0,0,0,56,20,3,37,5,0,0,30,35,0,25,10,0,15,117,26,12,31,3,7,13,49,20,4,17,19,0,12,4,2,10,2,0,0,11,57,13,15,46,11,0,3,36,15,10,40,0,0,5,86,68,16,7,5,11,10,71,8,9,44,0,F
50047,0,0,37,78,0,20,0,0,22,104,9,12,71,11,0,0,87,101,83,129,0,26,21,252,211,104,59,23,58,31,134,62,8,29,25,0,29,40,81,17,18,0,0,0,14,74,49,48,26,0,0,127,47,145,70,20,0,0,282,185,72,89,78,8,60,220,77,18,15,0,F
50048,0,12,17,17,0,0,0,0,4,21,1,42,0,0,0,1,2,3,27,0,0,0,15,69,20,18,3,0,0,11,56,13,5,2,1,0,15,17,0,2,0,6,0,0,5,6,0,37,0,0,3,16,8,5,12,0,4,0,51,18,35,4,0,16,1,53,24,7,7,0,F
50049,10,7,141,97,0,11,0,4,6,143,69,29,22,0,7,37,137,94,50,36,15,43,74,383,246,49,81,56,54,39,269,104,4,44,25,10,10,114,79,17,17,0,21,22,140,67,18,25,0,9,12,86,132,66,48,35,53,24,430,182,103,81,28,51,92,375,140,20,69,13,F
50050,0,3,4,0,0,0,0,0,0,14,6,5,18,0,0,0,14,6,9,5,0,0,8,40,15,7,16,10,6,10,36,3,0,8,0,0,0,0,4,0,0,0,0,0,0,20,2,2,3,0,0,0,15,0,0,0,3,8,37,13,13,13,0,0,8,37,13,4,13,0,F
50051,0,2,0,0,2,0,0,0,0,5,12,0,0,0,0,0,39,2,0,0,0,0,4,30,13,2,10,0,0,0,15,4,0,0,0,0,0,3,7,0,0,0,0,2,2,0,13,0,0,0,0,0,5,0,0,0,0,9,19,15,0,10,0,0,0,40,6,1,0,1,F
50052,0,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,32,0,14,0,2,1,0,16,1,0,2,0,0,5,14,5,0,0,0,0,0,0,0,0,0,0,2,0,7,0,2,1,0,1,0,35,12,0,2,0,1,1,11,0,0,4,1,F
50054,0,0,33,18,3,38,0,0,25,92,51,44,12,0,0,30,109,49,21,11,10,0,23,256,120,45,51,64,11,20,103,11,6,22,6,14,17,37,74,22,8,0,0,29,22,85,8,63,5,0,5,131,56,18,36,15,6,6,120,131,86,34,20,7,21,212,12,0,20,0,F
50055,0,0,20,0,4,0,0,0,0,24,9,6,12,0,0,4,11,8,13,0,0,0,9,63,27,11,26,3,0,7,37,17,0,5,4,0,0,11,19,22,0,0,0,0,7,9,6,7,5,0,0,19,16,21,1,0,0,2,39,13,14,8,6,0,10,36,24,0,4,4,F
50056,0,44,7,18,24,4,0,0,0,14,27,2,43,0,15,5,33,12,21,12,5,0,7,97,68,10,34,17,16,6,29,31,0,0,7,0,13,10,34,14,0,0,0,0,7,12,5,6,12,0,3,3,16,11,7,25,6,14,76,63,25,59,9,5,0,51,16,0,10,2,F
50057,0,0,8,0,0,0,0,0,0,6,0,15,0,0,0,0,16,0,0,0,0,0,0,12,0,0,0,12,0,0,0,11,0,8,0,0,7,0,0,0,0,0,0,0,31,7,0,8,0,0,0,0,0,0,6,0,0,0,11,0,0,0,0,0,0,0,0,12,12,0,F
50058,0,6,24,7,0,0,0,0,0,35,20,3,27,0,0,3,31,39,4,23,4,0,16,122,84,28,38,8,46,34,68,22,0,0,9,0,2,13,17,5,2,0,0,0,35,33,24,17,0,0,0,38,8,17,5,3,0,0,72,83,33,59,21,36,17,111,46,14,10,11,F
50060,0,20,40,9,3,4,0,0,10,36,51,4,0,10,7,21,30,26,26,15,10,9,30,150,63,18,40,7,26,19,132,44,15,15,0,0,1,15,14,42,9,0,0,0,22,29,20,0,3,0,3,38,19,66,17,3,4,20,127,79,37,41,27,25,19,214,47,4,20,13,F
50061,0,1,0,7,13,0,0,0,0,16,0,27,25,11,0,0,62,9,9,56,0,0,5,73,33,5,155,33,1,14,47,5,2,22,0,0,0,30,17,0,8,0,0,0,0,0,2,10,21,5,0,16,17,3,68,8,0,7,50,64,48,100,86,0,0,24,54,2,0,0,F
50062,0,14,11,0,0,0,0,0,7,2,14,6,0,0,0,3,14,0,3,0,0,2,0,95,24,0,5,5,11,25,25,3,3,0,0,0,6,15,4,4,0,0,0,5,3,8,5,0,0,0,0,2,14,0,6,3,0,14,94,12,0,14,0,4,25,39,7,5,0,0,F
50063,0,20,49,13,2,11,0,0,0,26,85,11,11,3,0,10,35,47,20,50,17,0,7,166,169,9,39,52,0,17,92,32,0,13,13,0,3,25,11,3,0,0,0,0,55,35,7,46,11,0,0,35,32,38,24,13,0,10,108,66,69,80,54,14,9,147,54,8,28,6,F
50064,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,6,0,0,1,0,0,0,5,3,0,0,0,3,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,10,2,0,0,0,0,0,0,3,0,0,0,0,0,9,0,1,0,0,1,0,0,0,0,1,0,F
50065,0,0,1,7,1,0,0,0,3,21,6,0,0,0,0,3,0,3,7,0,0,6,5,108,11,0,0,0,4,10,16,10,0,1,0,0,0,0,4,7,0,0,0,0,9,14,0,0,0,0,1,11,0,0,6,0,0,10,43,12,61,4,1,1,3,31,0,0,15,0,F
50066,0,0,0,0,0,0,0,0,0,6,10,5,0,0,6,0,3,2,0,0,0,0,4,10,9,3,0,0,0,1,13,9,0,0,0,0,0,6,0,8,0,0,4,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,11,17,0,0,0,0,0,31,1,0,0,0,F
50067,0,0,8,12,0,0,0,0,0,31,0,0,9,0,0,0,18,8,0,0,0,20,4,24,3,0,28,0,0,1,4,2,0,0,0,0,0,2,3,0,2,0,0,0,20,14,0,2,0,0,1,3,6,2,0,0,4,4,53,17,0,0,0,0,10,8,2,2,0,0,F
50068,0,0,0,0,0,0,0,0,0,10,27,29,0,0,0,0,4,12,0,0,0,3,0,29,10,6,2,0,2,3,18,14,0,0,10,0,0,2,4,3,0,0,0,0,0,47,0,0,0,0,0,0,8,0,7,0,2,0,18,17,7,0,0,0,0,16,7,0,0,0,F
50069,0,7,24,20,11,0,0,0,4,19,27,11,10,8,0,10,25,24,7,4,3,0,2,95,31,11,15,2,0,5,31,7,0,6,0,0,0,2,3,3,0,0,0,0,20,15,7,12,3,0,14,18,19,20,22,8,0,12,83,30,16,0,0,0,5,30,7,0,0,0,F
50070,0,8,3,0,3,0,0,0,0,8,7,8,12,0,0,10,24,29,24,19,0,6,12,107,52,41,54,12,3,9,28,30,0,3,0,0,0,0,10,3,0,0,0,0,19,7,11,15,4,0,3,44,47,21,25,0,0,0,97,68,53,61,4,0,8,23,28,12,11,0,F
50071,0,0,0,10,3,0,0,0,0,9,61,5,5,0,0,0,0,21,0,4,0,0,12,61,63,0,14,5,15,16,76,9,4,7,7,0,0,0,0,0,6,0,0,0,0,10,15,20,0,0,0,7,0,0,0,0,0,3,46,52,29,25,8,14,22,88,15,7,17,8,F
50072,0,0,28,83,12,35,0,0,0,44,65,11,32,0,0,3,52,64,14,53,29,0,17,134,97,42,38,44,6,19,74,14,0,0,9,0,19,3,40,11,28,0,0,0,66,10,22,69,0,0,0,93,67,10,57,10,4,4,109,64,86,44,12,9,9,100,47,13,32,4,F
50073,0,0,20,0,0,3,0,0,0,21,51,8,12,0,0,0,0,2,28,21,0,0,2,37,19,14,11,3,0,10,15,22,0,3,2,0,0,17,5,3,0,0,0,0,3,30,0,26,8,0,3,3,19,28,6,0,0,0,41,23,4,4,22,7,1,36,33,0,2,0,F
50074,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,2,19,17,4,15,0,0,37,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,0,0,0,8,0,0,0,0,7,0,24,5,14,0,28,0,3,31,27,0,0,9,F
50075,0,8,10,0,0,0,0,0,0,26,13,11,0,0,0,0,5,17,0,4,0,0,6,83,16,10,28,0,5,0,54,17,0,0,4,0,3,30,13,7,0,0,0,0,12,5,0,39,0,0,0,3,21,6,2,4,0,8,41,24,5,46,3,0,12,63,16,2,5,0,F
50076,12,0,15,3,0,0,0,5,0,26,24,10,3,11,0,0,22,12,2,3,0,2,13,87,39,27,17,0,13,14,104,30,0,12,0,0,16,10,17,0,3,0,0,4,16,62,0,0,8,0,0,30,14,9,3,0,0,13,66,52,29,27,4,23,21,119,34,25,7,5,F
50078,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,12,4,0,0,13,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,8,0,9,1,10,2,0,4,5,5,0,5,0,0,F
50101,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,F
