,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18-24,,,,,,,25-34,,,,,,,35-44,,,,,,,45-64,,,,,,,65+,,,,,,,18-24,,,,,,,25-34,,,,,,,35-44,,,,,,,45-64,,,,,,,65+,,,,,,,
,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,
50128,3,0,10,0,0,0,0,0,1,6,4,0,0,0,0,5,6,8,4,0,0,0,3,58,13,3,4,0,0,2,8,3,0,3,2,0,6,19,0,0,0,0,0,13,0,5,1,0,0,0,4,0,11,9,0,0,0,5,32,11,17,22,0,0,1,10,5,0,2,2,F
50129,18,29,48,39,76,8,0,0,49,32,46,20,40,17,13,66,36,60,88,44,6,6,48,243,93,104,193,68,59,49,184,71,0,25,15,17,4,26,98,48,11,0,0,44,4,111,46,53,0,0,13,28,60,88,79,0,6,55,289,180,92,157,38,72,87,374,151,22,56,0,F
50130,0,10,3,34,0,0,0,0,0,30,17,17,8,19,0,3,28,9,17,16,5,10,3,85,67,45,28,10,5,8,58,25,3,0,0,0,4,0,8,0,0,0,0,11,21,21,18,21,4,4,7,15,43,45,32,3,3,5,51,49,53,36,23,10,9,43,19,9,9,0,F
50131,3,98,124,163,69,99,11,0,0,200,227,45,370,304,0,9,185,140,68,468,229,16,61,352,216,275,602,501,20,8,269,184,0,130,121,33,10,111,226,10,98,0,0,0,119,272,78,501,201,0,27,20,284,136,590,182,49,53,476,323,301,728,355,45,32,418,143,57,104,62,F
50132,0,0,0,2,3,0,0,3,0,10,0,3,8,2,0,2,10,0,0,0,0,0,0,29,29,8,0,0,2,7,19,10,0,0,0,2,0,4,0,0,0,0,0,0,14,0,3,0,0,0,0,9,13,2,3,0,1,8,11,19,11,2,2,1,0,18,8,2,4,0,F
50133,0,2,0,0,0,0,0,0,0,15,6,0,10,0,0,6,36,9,0,0,0,4,5,16,5,2,0,0,2,9,21,0,1,1,11,0,4,4,0,0,6,0,0,0,4,10,2,15,0,0,0,10,23,0,0,0,14,3,4,11,25,0,0,21,3,24,12,10,10,0,F
50134,0,23,12,11,16,0,0,0,0,10,8,13,7,0,0,15,2,0,9,9,2,0,2,35,53,7,19,2,3,2,17,0,0,0,3,0,1,0,8,19,0,0,0,0,0,6,0,13,0,0,0,4,6,4,3,2,0,0,65,34,19,5,8,3,2,8,34,0,0,2,F
50135,0,12,9,21,36,0,0,0,4,97,9,10,28,0,0,0,15,64,6,0,16,3,7,90,58,40,25,10,7,13,110,26,15,3,9,9,13,2,7,17,0,0,0,10,0,61,19,15,0,0,4,27,49,19,0,9,0,10,95,55,9,37,11,6,28,106,19,0,14,0,F
50136,0,2,3,0,5,0,0,0,0,10,5,12,0,0,0,0,7,0,6,6,0,0,5,30,7,11,5,0,0,0,12,2,4,2,0,0,0,0,3,0,0,0,0,1,21,1,4,7,3,0,0,9,5,11,6,0,3,1,26,8,7,10,0,10,8,12,7,2,2,0,F
50138,0,78,145,130,33,6,0,30,7,256,143,160,66,0,2,30,292,232,65,58,17,24,77,613,469,131,261,76,74,61,380,123,17,75,88,0,50,111,169,67,11,0,26,17,129,266,121,113,6,0,22,152,191,130,205,19,24,117,670,465,144,159,54,109,130,602,110,34,54,23,F
50139,0,0,20,1,2,0,0,0,0,50,4,2,2,0,0,0,10,14,7,7,0,2,3,104,22,5,54,0,24,36,41,29,0,9,34,0,0,0,24,2,15,0,0,0,7,15,8,10,0,0,2,22,11,2,14,7,0,3,98,34,1,24,24,9,23,124,11,0,10,0,F
50140,5,11,292,267,7,0,0,0,7,79,22,5,20,17,0,26,35,20,5,17,31,0,3,43,51,30,40,33,0,9,107,43,0,6,23,0,5,9,326,0,0,0,0,4,75,6,45,48,3,13,0,21,37,22,47,0,0,6,59,61,17,29,67,10,17,91,55,31,63,11,F
50141,0,0,15,15,0,0,0,0,0,2,0,3,0,0,0,0,21,14,0,0,0,0,8,41,21,6,12,1,15,6,50,0,0,0,0,0,0,2,2,12,0,0,2,0,4,0,0,2,0,2,0,0,12,0,12,7,0,2,33,11,17,29,6,0,2,64,9,3,0,0,F
50142,0,0,8,9,0,4,0,0,8,59,17,2,4,1,0,0,9,10,0,5,0,5,4,60,21,17,20,11,2,7,20,5,5,8,6,0,0,29,21,1,0,0,0,0,0,27,4,7,0,3,0,10,13,19,10,0,0,13,51,44,12,2,9,0,12,35,12,11,3,0,F
50143,0,3,3,0,0,0,0,0,1,19,1,15,27,0,0,0,42,26,0,2,0,0,11,57,13,8,0,3,18,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,11,0,0,0,23,0,15,18,0,0,0,83,12,2,7,0,0,9,6,11,1,0,0,F
50144,4,26,67,17,0,0,0,12,8,30,7,26,16,0,7,8,53,28,7,3,5,40,65,168,86,16,32,5,34,60,109,14,6,11,0,7,30,45,36,0,0,0,0,11,34,18,5,24,7,17,3,39,57,12,36,5,48,35,162,58,3,34,11,53,20,118,87,0,31,5,F
50146,0,0,4,3,0,0,0,0,0,2,4,0,8,0,0,3,6,19,0,19,0,5,10,41,12,0,5,0,3,9,6,0,0,0,0,0,14,0,2,0,0,0,0,0,0,3,2,0,8,0,0,4,9,2,52,0,0,0,12,18,24,0,2,2,2,8,0,0,0,3,F
50147,0,0,1,7,3,0,0,0,0,12,3,0,2,0,0,0,12,0,0,0,0,0,8,30,20,3,0,1,9,5,27,0,0,5,2,0,0,9,0,3,2,0,0,0,10,2,0,0,0,2,0,1,3,2,6,1,0,8,12,21,5,10,0,7,8,26,11,0,0,0,F
50148,0,0,0,0,0,0,0,0,0,13,6,8,6,0,0,2,13,4,12,0,0,0,17,18,19,1,0,0,2,5,3,2,2,2,6,0,3,3,2,0,0,0,0,4,6,4,6,0,0,0,5,10,6,15,2,0,0,0,47,12,13,0,0,0,2,20,4,0,0,0,F
50149,0,0,2,0,0,0,0,0,1,21,0,0,12,0,0,0,9,12,2,0,0,7,13,42,34,7,8,11,0,0,76,2,0,0,0,0,0,2,8,0,0,0,0,0,48,7,7,0,15,0,0,10,4,0,4,0,0,7,61,51,2,12,0,3,25,46,4,0,0,0,F
50150,0,19,20,0,0,0,0,0,10,28,3,0,0,0,0,12,25,8,7,0,0,8,8,97,28,5,26,10,10,7,54,2,0,0,0,0,0,11,44,0,26,0,0,0,3,16,6,19,0,0,13,16,13,15,4,0,0,4,79,3,0,18,24,15,14,63,2,2,6,0,F
50151,0,0,0,0,0,0,0,0,14,39,2,0,0,0,0,0,5,22,0,32,0,0,31,58,11,6,25,0,21,0,27,21,0,2,7,0,0,0,0,0,0,0,0,0,43,5,0,0,0,0,1,17,0,0,8,0,6,27,18,85,0,6,16,9,0,71,5,9,0,2,F
50153,0,1,11,44,0,0,0,1,1,10,6,2,0,0,0,2,27,5,15,2,0,1,6,92,22,37,4,0,0,6,24,3,0,0,0,0,0,2,0,2,0,0,0,2,25,18,0,13,0,0,0,24,4,0,5,2,0,3,64,51,6,3,0,4,2,31,0,0,0,0,F
50154,0,3,19,0,0,0,0,0,0,13,18,21,0,2,0,0,3,0,7,22,0,0,0,21,30,1,11,2,12,5,25,1,3,3,0,0,1,0,3,3,0,0,0,0,0,13,10,14,11,0,0,0,4,7,12,3,0,0,9,22,14,1,9,0,5,17,0,15,2,3,F
50155,0,0,3,0,0,0,0,0,0,4,8,7,7,0,0,0,2,0,0,0,0,0,2,25,3,0,5,0,7,1,9,6,0,0,0,0,0,3,7,0,0,0,0,0,6,9,6,4,0,0,0,0,0,4,0,0,0,0,7,7,4,0,0,3,8,8,5,0,0,0,F
50156,16,11,28,40,4,4,0,0,5,82,91,83,51,3,0,0,77,69,33,29,33,5,53,230,120,59,94,8,27,36,191,9,0,9,18,0,16,23,58,8,32,0,0,0,106,53,35,51,4,0,0,82,103,42,68,7,0,15,231,170,63,65,36,36,29,206,76,6,4,4,F
50157,0,0,6,0,0,14,0,0,0,11,4,0,3,0,0,0,21,4,0,3,0,0,10,72,30,3,26,0,3,3,49,7,0,3,0,0,0,4,6,1,1,0,0,0,6,0,2,8,0,0,0,27,3,0,5,2,0,4,70,23,10,2,2,1,8,63,26,0,2,0,F
50158,42,477,402,324,93,67,0,283,268,566,403,135,215,0,182,76,549,328,221,231,85,350,246,1394,843,479,576,365,228,247,1160,184,38,314,189,11,391,415,293,119,34,0,180,250,227,451,182,366,147,185,125,504,375,266,178,121,227,227,1299,864,527,674,348,227,313,1389,589,81,207,69,F
50160,0,0,15,1,2,3,0,0,3,16,9,0,4,0,0,0,9,3,0,11,0,0,3,8,24,0,4,0,0,2,17,4,0,0,0,0,2,3,8,0,3,0,0,2,7,10,6,8,0,0,0,3,13,2,0,6,0,0,25,24,8,8,1,12,0,20,4,0,0,0,F
50161,0,2,27,49,13,7,0,0,0,11,70,14,31,0,0,0,36,39,9,25,0,0,3,157,119,3,66,16,8,12,79,27,0,6,8,0,1,24,27,8,0,0,0,2,3,5,17,36,7,0,4,24,34,18,10,8,5,0,141,111,46,31,12,0,7,76,51,0,5,0,F
50162,0,5,6,32,2,0,0,0,0,12,28,20,16,3,3,0,43,36,8,2,0,0,0,80,66,13,18,0,17,19,25,4,0,5,0,0,6,0,20,24,17,0,3,2,14,18,15,5,7,0,0,20,59,25,0,10,0,14,44,37,11,31,5,0,4,48,22,12,4,0,F
50163,0,6,11,0,0,0,0,0,9,26,12,10,23,0,3,0,19,9,0,3,2,3,23,47,33,0,0,3,11,3,63,17,0,0,0,0,0,37,0,0,0,0,0,0,15,36,4,3,0,0,0,15,9,3,4,0,0,40,63,36,17,4,0,3,3,60,22,0,6,1,F
50164,0,5,19,6,0,0,1,2,22,33,5,0,7,0,0,2,3,0,0,0,0,0,3,40,32,3,33,0,14,6,14,0,0,0,0,0,3,1,14,0,4,0,0,10,10,28,11,11,0,0,0,5,11,0,0,0,0,2,27,55,2,17,0,3,8,23,15,0,2,0,F
50165,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,13,0,0,0,0,0,3,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,F
50166,0,7,23,24,11,0,0,0,11,21,17,46,28,0,0,0,51,16,15,15,10,0,13,141,25,19,13,14,25,12,39,11,0,0,13,0,7,15,17,7,7,0,0,0,17,35,18,17,18,0,0,34,31,25,12,7,0,2,88,50,33,37,5,16,12,60,20,0,9,0,F
50167,0,0,10,0,2,0,0,0,0,5,24,3,10,0,0,0,6,6,3,6,0,0,4,24,14,15,17,2,8,6,30,14,0,0,2,0,0,7,2,2,10,0,0,0,0,14,4,7,9,0,6,4,4,4,6,0,0,0,48,26,2,10,0,0,1,29,3,7,5,0,F
50168,0,0,31,1,0,0,0,0,0,21,33,3,0,0,0,0,34,2,9,0,2,0,32,34,35,8,3,5,0,6,18,4,0,10,0,0,1,10,9,0,0,0,0,0,30,17,1,8,0,13,0,19,3,1,9,0,0,0,31,58,10,12,8,2,4,12,6,0,0,0,F
50169,0,9,119,39,0,10,0,0,12,84,53,14,3,4,0,4,84,34,28,54,3,3,17,156,87,16,58,54,4,0,80,18,0,3,38,0,60,102,46,18,0,0,0,29,127,114,56,23,0,0,10,91,96,25,12,45,0,4,325,156,59,103,11,14,18,107,33,7,0,14,F
50170,0,7,49,38,0,4,0,0,0,59,44,23,28,0,0,4,63,122,7,27,3,31,38,153,69,64,36,35,22,10,107,45,0,12,0,0,29,29,39,20,22,0,0,24,15,15,33,11,22,0,0,53,100,12,47,0,0,11,161,113,34,59,7,7,4,141,7,0,19,4,F
50171,0,46,34,24,0,12,0,0,23,69,34,80,19,6,0,5,55,22,21,28,4,1,12,178,81,23,61,37,13,40,106,64,3,27,30,0,8,37,6,5,2,0,0,0,40,32,54,4,3,9,16,52,32,4,36,19,22,14,261,60,64,69,17,22,35,124,51,0,20,2,F
50173,0,7,7,0,0,0,0,1,10,3,8,2,0,3,0,0,20,10,2,0,0,2,7,82,39,8,18,0,10,7,37,10,0,2,0,0,2,0,0,0,0,0,0,0,0,15,2,5,0,0,11,32,11,8,16,0,0,9,37,34,15,0,13,11,2,43,16,0,3,1,F
50174,0,13,24,27,10,0,0,2,6,44,2,21,6,3,0,6,28,11,10,14,0,0,20,85,40,28,11,3,8,8,68,0,4,0,6,0,2,16,5,6,5,0,0,4,28,18,12,3,0,0,9,22,27,23,10,7,0,3,77,69,29,23,0,0,18,95,15,3,4,0,F
50201,0,72,103,67,12,15,10,0,33,143,184,66,116,6,0,54,72,186,113,114,37,85,50,320,248,190,195,111,69,53,177,121,7,33,56,18,0,47,128,41,11,0,18,17,75,126,55,189,48,0,19,87,149,75,142,33,42,40,386,285,78,226,130,14,25,379,190,22,22,23,F
50206,2,5,0,2,0,10,0,0,3,16,3,0,0,0,0,2,13,0,5,8,2,0,0,25,10,0,8,3,8,0,17,0,0,10,1,0,0,10,0,0,0,0,0,0,3,6,6,0,0,0,0,7,11,3,0,3,3,5,15,29,0,10,2,0,0,20,1,8,1,0,F
50207,0,8,38,15,2,0,0,0,19,47,33,11,13,4,0,11,80,50,0,12,0,11,8,202,91,40,10,15,9,3,86,22,0,8,6,0,0,1,42,13,0,0,0,0,40,0,34,26,0,0,0,60,43,60,0,0,2,60,122,99,23,8,15,53,9,134,23,2,10,2,F
50208,3,164,401,286,0,96,0,18,140,534,290,111,216,39,11,67,623,519,85,219,58,31,105,1196,817,180,543,155,151,142,752,236,16,149,61,0,74,200,236,86,21,0,0,88,349,272,136,163,66,34,57,261,391,101,233,126,53,109,1166,851,182,321,242,122,218,1279,305,47,139,46,F
50210,0,0,50,6,5,0,0,0,18,17,21,13,9,0,0,0,43,19,22,29,14,0,16,111,118,27,51,0,10,0,75,13,0,10,0,0,0,11,28,0,0,0,0,0,28,36,8,33,12,0,10,6,24,0,64,5,0,3,146,87,25,56,0,0,2,69,9,0,3,0,F
50211,0,19,168,163,39,45,0,0,2,157,157,60,150,55,0,31,200,196,142,159,57,9,17,447,423,209,302,115,0,49,161,115,5,54,18,0,11,83,86,64,95,0,0,25,14,222,106,206,18,0,10,151,196,130,340,133,0,0,454,349,198,351,138,33,62,279,196,16,42,0,F
50212,0,13,38,41,0,11,0,0,0,40,26,16,40,10,3,7,77,35,44,28,15,1,25,325,137,36,93,16,5,17,120,44,7,15,0,0,22,31,30,6,0,0,0,19,60,39,27,19,0,0,0,60,82,38,54,20,0,20,183,112,64,143,34,20,3,226,93,0,27,6,F
50213,0,85,63,54,42,0,0,56,4,188,95,30,59,16,48,62,190,67,9,0,21,28,23,543,206,59,61,11,67,42,282,69,0,28,10,0,7,142,76,0,16,0,77,36,49,60,70,61,19,0,0,89,80,52,38,53,40,49,337,284,50,138,51,120,43,382,133,0,17,14,F
50214,0,0,0,0,0,0,0,0,0,34,0,0,17,0,8,0,0,0,16,31,0,0,0,47,23,0,34,0,0,0,22,0,0,0,17,0,0,43,0,0,20,0,0,0,0,0,0,0,0,9,0,0,0,0,22,16,0,0,46,13,0,27,11,15,0,12,12,0,19,0,F
50216,0,5,7,2,0,0,0,0,0,48,4,7,4,0,12,1,43,57,12,31,45,5,0,160,88,60,127,16,12,3,122,50,0,32,53,2,2,2,40,0,17,0,0,16,0,65,24,27,0,0,0,10,43,17,49,45,0,0,109,111,56,103,25,23,29,196,69,2,24,0,F
50217,0,10,5,9,12,3,0,0,3,20,12,5,0,0,0,0,12,13,0,7,0,11,4,61,38,7,9,0,0,0,32,4,0,23,0,0,7,3,22,0,0,0,0,0,5,8,4,0,0,0,9,18,16,13,12,0,0,20,31,25,15,4,0,0,0,54,8,5,3,0,F
50218,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,15,0,0,0,0,0,6,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,3,5,6,11,0,0,0,0,2,14,0,0,0,0,F
50219,0,70,145,834,50,52,0,8,12,73,148,84,195,197,18,7,214,248,96,219,86,38,42,480,327,176,281,271,102,35,421,169,0,13,122,0,55,184,654,18,77,0,0,22,120,82,61,358,130,28,0,82,191,44,371,84,15,58,442,428,206,334,117,105,67,526,162,66,162,88,F
50220,0,161,82,220,50,12,0,52,88,154,80,47,39,0,159,67,221,98,40,42,7,93,58,264,222,167,145,14,58,25,248,75,40,56,24,0,31,139,125,25,39,0,74,104,142,54,36,142,0,25,140,141,121,31,26,0,95,113,342,156,132,120,60,93,59,492,63,63,62,21,F
50222,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,35,0,13,0,0,6,0,76,38,27,0,0,2,4,64,11,0,0,0,0,0,13,0,0,0,0,0,0,3,15,12,1,2,0,0,32,18,0,0,0,0,7,47,31,13,32,0,0,1,11,42,0,0,0,F
50223,0,0,9,2,0,0,0,0,0,37,3,0,0,0,0,0,14,3,0,1,0,3,5,40,6,8,14,12,0,5,30,7,0,0,0,0,0,11,36,0,0,0,0,0,3,0,3,0,0,0,5,12,5,1,0,0,0,1,42,6,12,4,2,7,2,20,5,4,0,0,F
50225,3,0,13,24,8,5,0,0,3,65,42,21,18,9,0,13,73,44,21,33,30,3,20,202,22,2,127,24,9,12,68,38,5,4,0,0,0,25,85,0,3,0,0,0,40,62,38,26,12,0,0,75,92,70,20,3,6,20,96,111,54,36,11,11,32,126,53,9,21,0,F
50226,0,6,35,60,7,4,0,0,0,47,33,65,63,0,0,3,130,123,42,157,46,0,11,124,102,54,265,105,9,0,65,21,0,0,12,0,7,46,83,16,20,0,0,0,27,50,35,78,33,13,0,26,63,31,219,90,0,2,129,166,91,151,136,12,18,65,39,7,27,9,F
50227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
50228,0,4,2,11,0,4,0,0,3,23,16,45,30,0,0,0,47,12,5,25,0,0,6,104,41,19,26,0,22,11,98,2,21,13,0,0,3,6,20,7,0,0,0,0,6,26,48,20,8,0,0,20,53,20,44,5,24,0,126,38,41,22,7,44,27,115,32,5,14,2,F
50229,0,17,0,20,0,0,0,0,0,34,16,0,0,0,0,0,17,22,6,29,0,0,0,22,46,13,30,10,5,23,20,10,0,0,0,0,15,0,15,0,9,0,0,0,8,9,9,21,4,0,0,15,24,17,18,0,0,0,50,35,6,52,0,0,6,36,0,11,0,0,F
50230,8,4,2,12,2,12,0,0,26,4,19,3,8,0,0,0,8,34,19,6,0,4,25,86,20,35,17,4,0,7,23,14,4,17,3,0,0,4,6,23,0,0,20,0,38,3,8,7,0,0,0,7,9,12,8,0,0,3,62,32,25,24,12,12,3,41,34,0,3,0,F
50231,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,4,0,0,4,30,4,1,0,6,0,0,3,1,0,4,2,0,0,0,0,0,0,0,0,0,1,5,0,3,0,0,0,6,0,2,0,0,0,0,17,5,4,7,9,0,0,2,4,2,1,0,F
50232,0,18,24,1,0,0,0,0,0,10,4,0,0,0,0,0,29,0,8,9,0,0,4,18,9,4,16,7,14,6,23,2,0,1,2,0,6,7,11,0,0,0,0,0,8,7,5,0,0,0,0,26,6,4,7,0,0,2,17,7,9,5,4,1,2,24,11,0,1,0,F
50233,0,16,24,5,7,0,0,0,0,35,8,0,2,0,0,6,19,9,21,0,0,15,3,75,31,52,35,0,1,22,78,21,3,0,0,0,0,10,20,3,7,0,0,0,24,19,21,0,0,0,0,18,22,0,25,3,5,4,98,69,0,57,0,6,18,66,11,8,3,0,F
50234,0,9,12,0,14,0,0,0,0,7,0,0,0,0,0,0,10,20,2,10,0,0,13,22,28,6,12,0,2,2,5,16,0,0,3,0,0,2,8,0,2,0,0,0,4,3,2,0,0,0,0,4,18,3,10,8,0,26,51,29,12,2,0,0,6,43,3,0,4,0,F
50235,0,0,18,3,0,3,0,0,5,0,8,0,5,0,2,17,16,10,0,0,0,0,1,31,14,1,19,0,1,6,18,5,6,2,0,0,1,9,0,2,0,0,0,0,1,5,0,7,0,0,1,16,23,0,6,0,0,2,20,6,0,18,7,1,0,24,6,5,11,2,F
50236,0,0,0,4,15,0,0,0,3,16,27,10,37,15,0,4,27,23,14,31,26,0,0,70,31,21,28,3,2,9,19,25,5,12,12,0,6,17,10,16,5,0,0,0,11,15,13,33,9,0,0,15,36,9,29,13,3,0,77,29,31,49,12,0,6,52,26,4,9,6,F
50237,1,10,31,23,0,0,0,0,0,37,21,15,4,10,3,13,72,33,35,23,26,16,3,193,103,49,75,18,47,63,59,27,3,0,7,0,13,41,20,2,0,0,0,0,28,44,5,5,12,0,11,33,80,42,47,0,0,2,159,105,38,109,12,14,19,146,39,2,0,10,F
50238,0,7,10,0,4,0,0,0,0,7,9,2,0,0,0,1,43,10,0,7,0,7,5,96,30,9,20,0,8,0,45,21,6,1,2,0,0,7,7,4,0,0,0,2,10,3,6,2,0,2,0,19,22,2,5,0,0,7,50,42,17,24,0,9,12,50,36,11,3,11,F
50239,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,3,9,7,11,2,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,13,20,2,6,0,6,0,2,11,0,0,0,0,1,7,0,0,1,0,F
50240,0,7,19,71,0,0,0,0,0,39,63,2,39,0,0,0,71,82,14,8,0,0,26,209,82,23,51,33,14,21,93,39,12,13,0,0,0,22,7,4,20,0,0,0,32,42,25,29,0,0,0,63,47,27,64,17,0,25,113,43,45,76,54,0,11,115,22,9,0,0,F
50242,0,0,2,0,0,0,0,0,6,9,5,0,0,0,0,1,18,7,7,8,0,0,7,19,4,8,15,0,0,3,16,19,0,0,0,0,0,4,3,0,0,0,0,4,3,2,0,0,0,0,0,6,13,26,11,0,0,0,23,2,2,13,8,3,8,12,10,0,0,0,F
50243,0,2,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,11,2,2,0,0,3,26,5,0,8,0,0,0,9,2,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,2,0,0,0,11,4,2,0,0,0,2,8,4,0,1,0,0,3,20,4,1,0,0,F
50244,0,30,11,20,0,4,0,3,14,30,33,39,33,0,0,21,19,6,13,35,11,0,3,74,59,17,73,28,0,0,29,40,4,25,8,0,27,14,20,0,20,0,0,0,19,24,16,51,13,0,27,7,45,13,32,9,0,0,42,46,37,101,13,5,0,80,25,24,12,0,F
50246,0,0,18,0,1,0,0,0,0,8,27,33,0,0,0,0,21,18,0,0,0,1,9,38,54,3,7,0,3,12,17,20,0,23,0,0,0,4,8,0,0,0,0,0,4,14,16,0,0,0,0,13,7,7,0,0,5,5,58,22,24,14,5,1,4,57,27,0,7,0,F
50247,4,0,37,3,29,0,0,0,0,62,22,19,27,3,3,8,40,37,41,41,10,22,3,107,51,34,49,19,6,14,84,14,0,22,2,0,3,31,6,2,9,13,0,0,56,37,42,39,0,3,0,22,50,12,47,7,0,5,50,57,35,70,13,4,5,94,61,21,13,2,F
50248,0,9,54,31,28,70,0,0,14,0,0,35,37,0,0,0,70,72,49,115,0,1,46,240,86,27,172,32,51,26,162,36,17,11,21,0,10,42,31,46,0,0,0,0,0,78,26,108,11,0,0,47,40,48,129,18,3,15,199,231,45,153,37,68,61,260,88,24,38,24,F
50249,0,23,33,17,2,2,0,0,0,32,22,5,6,0,0,3,29,16,12,9,0,0,6,113,32,20,3,8,14,13,49,11,0,4,2,0,7,11,16,25,0,0,0,9,3,17,6,13,0,0,0,10,17,4,8,0,0,4,78,36,11,19,8,8,15,146,11,2,16,0,F
50250,0,0,47,0,6,0,0,0,9,39,43,25,26,12,0,17,71,3,24,15,4,0,16,216,103,9,35,5,15,7,158,55,6,10,11,0,0,11,33,8,6,0,0,6,29,25,17,37,10,3,0,40,61,19,19,0,12,10,176,80,43,29,9,40,17,134,32,2,51,0,F
50251,0,4,20,23,0,2,0,0,0,13,17,23,12,5,0,0,34,6,5,12,6,0,0,115,8,11,14,14,28,15,54,6,0,0,13,0,6,25,8,3,8,0,0,0,6,0,7,22,0,0,0,43,13,10,16,3,4,5,83,38,6,16,8,15,11,57,25,0,2,5,F
50252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,16,0,0,0,13,2,3,0,0,1,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,16,0,0,0,0,11,4,0,0,0,1,0,4,4,0,0,0,F
50254,0,0,21,0,4,0,0,0,20,8,0,0,27,0,0,0,2,5,0,0,0,0,0,20,21,8,14,0,8,4,48,0,0,0,0,0,0,5,17,0,0,0,0,25,0,0,0,0,0,0,0,5,5,0,27,0,0,7,12,1,11,8,8,0,4,13,3,0,0,0,F
50255,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,3,0,0,0,0,0,1,0,0,F
50256,0,11,23,7,17,0,0,0,0,49,8,0,8,0,0,6,53,0,0,0,0,4,0,46,0,28,4,0,7,12,10,9,0,0,0,0,0,0,22,28,0,0,0,0,6,0,0,14,0,0,0,44,0,0,0,0,0,0,41,14,17,0,0,26,4,17,9,0,0,0,F
50257,0,7,15,21,0,0,0,0,7,33,7,12,1,2,0,10,18,18,9,12,9,1,13,56,18,9,10,0,0,2,39,3,1,0,2,0,0,10,10,0,0,0,0,0,15,9,16,15,0,0,6,33,22,6,15,0,0,0,80,21,18,2,0,7,4,6,8,0,14,0,F
50258,0,0,10,0,0,0,0,0,3,32,22,10,0,0,0,2,12,8,6,1,7,0,3,71,26,14,11,10,4,3,52,12,0,31,0,0,24,22,2,0,0,0,0,0,15,15,5,17,0,0,0,5,20,19,4,4,0,2,29,50,23,18,12,0,12,76,17,20,3,0,F
50261,0,0,66,46,5,0,0,0,0,9,13,12,61,0,4,4,46,19,20,109,11,0,26,84,83,51,63,14,8,0,78,0,0,4,0,0,17,7,18,10,6,0,0,0,3,27,35,26,16,0,0,17,51,36,72,26,0,4,74,51,54,101,26,0,0,83,27,10,4,4,F
50262,0,0,2,0,0,0,0,0,2,1,5,3,0,0,0,3,9,17,2,0,0,3,4,14,2,0,3,0,2,27,36,1,0,0,0,0,0,5,3,0,0,0,0,0,5,4,0,4,3,0,0,2,3,0,0,0,3,4,36,12,17,3,0,24,5,22,0,0,0,0,F
50263,0,74,96,105,24,68,0,25,0,126,305,113,890,132,0,49,157,222,225,613,123,0,46,204,180,134,349,254,14,59,209,111,12,93,41,0,33,41,163,52,131,0,0,10,131,311,201,863,258,0,0,101,260,228,566,131,10,36,265,358,146,364,230,38,63,377,144,32,66,0,F
