[  1.66919719e+04   5.13521756e-02   1.30101481e-01   1.27766084e+05
   7.17773839e+02   7.09688945e-01   1.02693846e-01   7.02191462e+00
   1.28774014e-01   9.81543577e-02   9.02128685e-02][  1.33268640e+04   7.81861790e-02   1.43716817e-01   1.71817721e+04
   4.00926471e+02   2.08649270e-01   7.63845220e-01   3.81846281e+00
   1.79224294e-01   5.52129489e-01   7.24893750e-03][  1.39982705e+04   5.18424856e-02   1.30317186e-01   8.92132238e+04
   7.18056753e+02   6.89527505e-01   2.02130430e-01   6.17792543e+00
   1.34679073e-01   1.15730520e-01   6.06330671e-02][  1.82618471e+04   4.82414532e-02   1.56862363e-01   4.11707159e+04
   4.01084265e+02   5.80016068e-01   6.00627497e-01   4.76533134e+00
   1.55257637e-01   2.21084308e-01   1.65435223e-02][  1.18743344e+04   5.26992268e-02   1.33474721e-01   5.53175055e+04
   5.44579788e+02   6.74644384e-01   4.49907068e-01   5.09062086e+00
   1.54663948e-01   1.39051528e-01   2.15675998e-02][  1.21265296e+04   9.50210124e-02   1.32375845e-01   2.52679949e+04
   4.47869942e+02   2.51755118e-01   7.62867416e-01   3.96762349e+00
   2.20805250e-01   4.68290487e-01   9.34056936e-03][  1.25555254e+04   5.10710417e-02   1.29576242e-01   6.85907644e+04
   6.35935579e+02   6.74023008e-01   3.30352802e-01   5.57604796e+00
   1.54985629e-01   1.29508065e-01   3.61222219e-02][  1.03260039e+04   6.01747432e-02   1.34780518e-01   3.90206606e+04
   4.82083479e+02   5.95714557e-01   6.20116384e-01   4.47351661e+00
   1.85967772e-01   1.83485577e-01   1.23448430e-02][  3.01011514e+04   7.31067875e-02   1.57988382e-01   5.52648441e+04
   3.52902004e+02   5.81598852e-01   4.87594615e-01   5.06187778e+00
   1.68132002e-01   1.65705946e-01   2.10124234e-02][  1.09017328e+04   5.45445505e-02   1.36783264e-01   4.63629064e+04
   4.85588787e+02   6.56813926e-01   5.36525158e-01   4.79203399e+00
   1.57189436e-01   1.53258796e-01   1.57722711e-02][  2.76053524e+04   9.99620933e-02   1.71000892e-01   3.10728571e+04
   3.35253968e+02   2.83738783e-01   7.46996510e-01   4.26474924e+00
   1.92084140e-01   3.44243730e-01   1.48138543e-02][  1.10690554e+04   7.04416909e-02   1.34269761e-01   3.22632438e+04
   4.57171530e+02   4.58787754e-01   6.74368749e-01   4.20179753e+00
   2.12943488e-01   2.85642213e-01   9.34102607e-03]

Percent White, Percent F/R Lunch, Cluster Number
(11907.0, 0.1129046, 0.0917243, 80506.0, 460.0, 0.4, 0.2043478, 7.489711, 0.0, 0.0, 0.0), 2
(16907.0, 0.0082592, 0.1791614, 120078.0, 251.0, 0.9282869, 0.0199203, 7.396555, 0.0, 0.0, 0.0), 0
(13554.0, 0.0171896, 0.0918165, 86669.0, 433.0, 0.6836028, 0.0715935, 7.007118, 0.0, 0.0, 0.0), 2
(16629.0, 0.0, 0.047619, 51806.0, 17.0, 0.8823529, 0.0, 6.979351, 0.0, 0.0, 0.0), 4
(13416.0, 0.0170183, 0.1021099, 109413.0, 101.0, 0.9306931, 0.039604, 6.927726, 0.0, 0.0, 0.019802), 0
(12625.0, 0.0, 0.0, 48000.0, 11.0, 1.0, 0.0, 6.896552, 0.0, 0.0, 0.0), 9
(15112.0, 0.0388294, 0.0868188, 96507.0, 379.0, 0.6649076, 0.1662269, 6.783486, 0.0, 0.0, 0.0), 2
(46387.0, 0.0, 0.1348315, 81528.0, 75.0, 0.9866667, 0.04, 6.654036, 0.0, 0.0, 0.0133333), 8
(11042.0, 0.107093, 0.1073596, 62818.0, 370.0, 0.7918919, 0.145946, 6.601468, 0.0, 0.0, 0.0), 6
(16895.0, 0.0, 0.1707317, 57500.0, 20.0, 1.0, 0.2, 6.548117, 0.0, 0.0, 0.0), 4
(13883.0, 0.2052109, 0.1388305, 99845.0, 2452.0, 0.4310767, 0.2202284, 6.499255, 0.0, 0.0, 0.0), 2
(13263.0, 0.0312178, 0.1673731, 59771.0, 494.0, 0.4716599, 0.3117409, 6.460432, 0.0, 0.0, 0.0), 4
(11323.0, 0.002355, 0.1684864, 93231.0, 362.0, 0.980663, 0.0552486, 6.453109, 0.0, 0.0, 0.0110497), 2
(15665.0, 0.0023256, 0.1457364, 74625.0, 42.0, 1.0, 0.1904762, 6.371473, 0.0, 0.0, 0.0), 6
(12295.0, 0.1063023, 0.1097767, 61423.0, 65.0, 0.0461538, 0.6923077, 6.241852, 0.0, 0.0, 0.0307692), 6
(12406.0, 0.0325866, 0.1181263, 49583.0, 11.0, 1.0, 0.7272727, 6.235632, 0.0, 0.0, 0.0), 9
(18556.0, 0.0, 0.1809045, 52563.0, 199.0, 0.9748744, 0.160804, 6.224349, 0.0, 0.0, 0.0201005), 4
(12157.0, 0.0175824, 0.0967033, 88770.0, 25.0, 0.96, 0.32, 6.186892, 0.0, 0.0, 0.04), 2
